cell_id,group_id,isomer,theta,phi,chain_index,opt_converged,attempts,final_gnorm,E_opt_hartree,conv_threshold,qed_ccsd_input_written
ortho_th27_ph162,ortho_th27,ortho,27.0,162.0,9,True,1,0.0023420668351680453,-3010.341630455868,0.009,True
ortho_th27_ph180,ortho_th27,ortho,27.0,180.0,10,True,1,0.0006645330626356259,-3010.3438381608767,0.009,True
ortho_th27_ph198,ortho_th27,ortho,27.0,198.0,11,True,1,0.0005156265923593048,-3010.3461526357232,0.009,True
ortho_th27_ph216,ortho_th27,ortho,27.0,216.0,12,True,1,0.000444153075100664,-3010.3482482526497,0.009,True
ortho_th27_ph234,ortho_th27,ortho,27.0,234.0,13,True,1,0.0035417846771209644,-3010.349577221586,0.009,True
ortho_th27_ph252,ortho_th27,ortho,27.0,252.0,14,True,1,0.0026073540703293,-3010.350291566395,0.009,True
ortho_th27_ph270,ortho_th27,ortho,27.0,270.0,15,True,1,0.0016230527336696685,-3010.35055255958,0.009,True
ortho_th27_ph288,ortho_th27,ortho,27.0,288.0,16,True,1,0.0023411973826510286,-3010.350476486116,0.009,True
ortho_th27_ph306,ortho_th27,ortho,27.0,306.0,17,True,1,0.0031333974487243676,-3010.350327617081,0.009,True
ortho_th27_ph324,ortho_th27,ortho,27.0,324.0,18,True,1,0.0019024659769881025,-3010.3504111701386,0.009,True
ortho_th27_ph342,ortho_th27,ortho,27.0,342.0,19,True,1,0.0009228384387268625,-3010.350536883073,0.009,True
ortho_th36_ph0,ortho_th36,ortho,36.0,0.0,0,True,1,0.0009988361697350807,-3010.347023302738,0.002,True
ortho_th36_ph18,ortho_th36,ortho,36.0,18.0,1,True,1,0.0013335804746210532,-3010.3462595322535,0.002,True
ortho_th36_ph36,ortho_th36,ortho,36.0,36.0,2,True,6,0.001801970366440484,-3010.3442003443943,0.002,True
ortho_th36_ph54,ortho_th36,ortho,36.0,54.0,3,True,3,0.004144446922282363,-3010.3411841331226,0.0043,True
ortho_th36_ph72,ortho_th36,ortho,36.0,72.0,4,True,3,0.002290021735888648,-3010.3383474082066,0.0043,True
ortho_th36_ph90,ortho_th36,ortho,36.0,90.0,5,True,1,0.004112097924165269,-3010.336040064211,0.0043,True
ortho_th36_ph108,ortho_th36,ortho,36.0,108.0,6,True,2,0.0034872117973008864,-3010.3344134320937,0.0043,True
ortho_th36_ph126,ortho_th36,ortho,36.0,126.0,7,True,1,0.0037257536086356536,-3010.333817246852,0.0043,True
