theta,phi,Ex,Ey,Ez,lambda_magnitude,file_A,file_B
70.0,31.0,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,ortho.xyz,meta.xyz
70.0,31.0,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,ortho.xyz,meta.xyz
70.0,31.0,0.048328427234925045,0.029038648705005464,0.02052120859954013,0.06,ortho.xyz,meta.xyz
70.0,31.0,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,ortho.xyz,meta.xyz
70.0,31.0,0.08054737872487508,0.048397747841675776,0.03420201433256689,0.1,ortho.xyz,meta.xyz
