     theta       phi           Ex           Ey           Ez            Para_E_el            Para_E_ph           Para_E_blc           Para_E_dse           Ortho_E_el           Ortho_E_ph          Ortho_E_blc          Ortho_E_dse            Meta_E_el            Meta_E_ph           Meta_E_blc           Meta_E_dse
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000     0.000     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000     4.045     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000     8.090     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    12.135     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    16.180     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    20.225     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    24.270     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    28.315     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    32.360     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    36.404     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    40.449     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    44.494     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    48.539     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    52.584     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    56.629     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    60.674     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    64.719     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    68.764     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    72.809     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    76.854     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    80.899     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    84.944     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    88.989     0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    93.034    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000    97.079    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000   101.124    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000   105.169    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000   109.213    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000   113.258    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
     0.000   117.303    -0.000000     0.000000     0.100000   -3007.947466769021       0.041346248659      -0.019613920482       0.017581357460   -3007.952988137992       0.039951546362      -0.017346353309       0.017712292425   -3007.955584211097       0.041830361664      -0.020452488170       0.017650877072
