     Theta        Phi           Ex           Ey           Ez              Nitro_E
     8.780    105.366    -0.004045     0.014719     0.098828    -436.565900408753
     8.780    114.146    -0.006244     0.013929     0.098828    -436.565899731756
     8.780    122.927    -0.008298     0.012813     0.098828    -436.565878602116
     8.780    131.707    -0.010156     0.011396     0.098828    -436.565835099224
     8.780    140.488    -0.011777     0.009712     0.098828    -436.565767448055
     8.780    149.268    -0.013121     0.007801     0.098828    -436.565674313373
     8.780    158.049    -0.014158     0.005706     0.098828    -436.565555102664
     8.780    166.829    -0.014863     0.003478     0.098828    -436.565410245093
     8.780    175.610    -0.015220     0.001169     0.098828    -436.565241412543
     8.780    184.390    -0.015220    -0.001169     0.098828    -436.565051651889
     8.780    193.171    -0.014863    -0.003478     0.098828    -436.564845405474
     8.780    201.951    -0.014158    -0.005706     0.098828    -436.564628408201
     8.780    210.732    -0.013121    -0.007801     0.098828    -436.564407463138
     8.780    219.512    -0.011777    -0.009712     0.098828    -436.564190111416
     8.780    228.293    -0.010156    -0.011396     0.098828    -436.563984223833
     8.780    237.073    -0.008298    -0.012813     0.098828    -436.563797549860
     8.780    245.854    -0.006244    -0.013929     0.098828    -436.563637262825
     8.780    254.634    -0.004045    -0.014719     0.098828    -436.563509538299
     8.780    263.415    -0.001751    -0.015164     0.098828    -436.563419196874
     8.780    272.195     0.000585    -0.015254     0.098828    -436.563369434627
     8.780    280.976     0.002906    -0.014986     0.098828    -436.563361656664
     8.780    289.756     0.005160    -0.014366     0.098828    -436.563395422176
     8.780    298.537     0.007292    -0.013410     0.098828    -436.563468503957
     8.780    307.317     0.009254    -0.012140     0.098828    -436.563577059573
     8.780    316.098     0.010999    -0.010585     0.098828    -436.563715904715
     8.780    324.878     0.012486    -0.008782     0.098828    -436.563878870927
     8.780    333.659     0.013680    -0.006773     0.098828    -436.564059220778
     8.780    342.439     0.014554    -0.004606     0.098828    -436.564250085677
     8.780    351.220     0.015086    -0.002330     0.098828    -436.564444886971
     8.780    360.000     0.015265    -0.000000     0.098828    -436.564637701440
    13.171      0.000     0.022785     0.000000     0.097370    -436.563220498710
    13.171      8.780     0.022518     0.003478     0.097370    -436.563488259833
    13.171     17.561     0.021723     0.006875     0.097370    -436.563730179018
    13.171     26.341     0.020419     0.010110     0.097370    -436.563943717786
    13.171     35.122     0.018637     0.013109     0.097370    -436.564128719096
    13.171     43.902     0.016417     0.015800     0.097370    -436.564286896117
    13.171     52.683     0.013813     0.018121     0.097370    -436.564421168326
    13.171     61.463     0.010885     0.020017     0.097370    -436.564534938526
    13.171     70.244     0.007702     0.021444     0.097370    -436.564631403514
    13.171     79.024     0.004338     0.022369     0.097370    -436.564712973871
    13.171     87.805     0.000873     0.022769     0.097370    -436.564780850321
    13.171     96.585    -0.002613     0.022635     0.097370    -436.564834775165
    13.171    105.366    -0.006038     0.021971     0.097370    -436.564872957340
    13.171    114.146    -0.009321     0.020792     0.097370    -436.564892163108
    13.171    122.927    -0.012385     0.019125     0.097370    -436.564887967050
    13.171    131.707    -0.015160     0.017010     0.097370    -436.564855160269
    13.171    140.488    -0.017579     0.014497     0.097370    -436.564788305233
    13.171    149.268    -0.019586     0.011644     0.097370    -436.564682407204
    13.171    158.049    -0.021133     0.008518     0.097370    -436.564533645982
    13.171    166.829    -0.022186     0.005192     0.097370    -436.564340088790
    13.171    175.610    -0.022718     0.001744     0.097370    -436.564102294082
    13.171    184.390    -0.022718    -0.001744     0.097370    -436.563823720972
    13.171    193.171    -0.022186    -0.005192     0.097370    -436.563510878535
    13.171    201.951    -0.021133    -0.008518     0.097370    -436.563173179520
    13.171    210.732    -0.019586    -0.011644     0.097370    -436.562822499211
    13.171    219.512    -0.017579    -0.014497     0.097370    -436.562472477570
    13.171    228.293    -0.015160    -0.017010     0.097370    -436.562137636109
    13.171    237.073    -0.012385    -0.019125     0.097370    -436.561832404111
    13.171    245.854    -0.009321    -0.020792     0.097370    -436.561570155633
