     Theta        Phi           Ex           Ey           Ez              Nitro_E
    39.512    351.220     0.062879    -0.009712     0.077149    -436.546633991610
    39.512    360.000     0.063624    -0.000000     0.077149    -436.547361105001
    43.902      0.000     0.069343     0.000000     0.072052    -436.544139027602
    43.902      8.780     0.068531     0.010585     0.072052    -436.544606807382
    43.902     17.561     0.066112     0.020922     0.072052    -436.544781079739
    43.902     26.341     0.062143     0.030769     0.072052    -436.544692226686
    43.902     35.122     0.056718     0.039894     0.072052    -436.544397427680
    43.902     43.902     0.049963     0.048085     0.072052    -436.543974749513
    43.902     52.683     0.042038     0.055148     0.072052    -436.543512146982
    43.902     61.463     0.033127     0.060919     0.072052    -436.543092844724
    43.902     70.244     0.023439     0.065262     0.072052    -436.542781726177
    43.902     79.024     0.013202     0.068075     0.072052    -436.542618334470
    43.902     87.805     0.002656     0.069292     0.072052    -436.542619101723
    43.902     96.585    -0.007953     0.068886     0.072052    -436.542785495486
    43.902    105.366    -0.018375     0.066864     0.072052    -436.543110550885
    43.902    114.146    -0.028366     0.063276     0.072052    -436.543578098716
    43.902    122.927    -0.037693     0.058204     0.072052    -436.544155786183
    43.902    131.707    -0.046136     0.051768     0.072052    -436.544788731606
    43.902    140.488    -0.053498     0.044119     0.072052    -436.545400431774
    43.902    149.268    -0.059605     0.035436     0.072052    -436.545902258213
    43.902    158.049    -0.064316     0.025922     0.072052    -436.546207632018
    43.902    166.829    -0.067519     0.015800     0.072052    -436.546245405337
    43.902    175.610    -0.069140     0.005308     0.072052    -436.545968921298
    43.902    184.390    -0.069140    -0.005308     0.072052    -436.545360411667
    43.902    193.171    -0.067519    -0.015800     0.072052    -436.544432526063
    43.902    201.951    -0.064316    -0.025922     0.072052    -436.543228666220
    43.902    210.732    -0.059605    -0.035436     0.072052    -436.541821896063
    43.902    219.512    -0.053498    -0.044119     0.072052    -436.540310338670
    43.902    228.293    -0.046136    -0.051768     0.072052    -436.538807009537
    43.902    237.073    -0.037693    -0.058204     0.072052    -436.537424499837
    43.902    245.854    -0.028366    -0.063276     0.072052    -436.536258589431
    43.902    254.634    -0.018375    -0.066864     0.072052    -436.535377208192
    43.902    263.415    -0.007953    -0.068886     0.072052    -436.534819493441
    43.902    272.195     0.002656    -0.069292     0.072052    -436.534603648774
    43.902    280.976     0.013202    -0.068075     0.072052    -436.534736035247
    43.902    289.756     0.023439    -0.065262     0.072052    -436.535213262888
    43.902    298.537     0.033127    -0.060919     0.072052    -436.536015222647
    43.902    307.317     0.042038    -0.055148     0.072052    -436.537094958424
    43.902    316.098     0.049963    -0.048085     0.072052    -436.538374334750
    43.902    324.878     0.056718    -0.039894     0.072052    -436.539750364418
    43.902    333.659     0.062143    -0.030769     0.072052    -436.541110037210
    43.902    342.439     0.066112    -0.020922     0.072052    -436.542347301948
    43.902    351.220     0.068531    -0.010585     0.072052    -436.543376382444
    43.902    360.000     0.069343    -0.000000     0.072052    -436.544139027602
    48.293      0.000     0.074655     0.000000     0.066533    -436.540949386567
    48.293      8.780     0.073780     0.011396     0.066533    -436.541384713077
    48.293     17.561     0.071176     0.022525     0.066533    -436.541474805465
    48.293     26.341     0.066904     0.033126     0.066533    -436.541256601334
    48.293     35.122     0.061063     0.042951     0.066533    -436.540799039158
    48.293     43.902     0.053791     0.051768     0.066533    -436.540197288448
    48.293     52.683     0.045258     0.059373     0.066533    -436.539559622618
    48.293     61.463     0.035664     0.065586     0.066533    -436.538988491276
    48.293     70.244     0.025235     0.070261     0.066533    -436.538562258132
    48.293     79.024     0.014214     0.073290     0.066533    -436.538325980946
    48.293     87.805     0.002860     0.074601     0.066533    -436.538295542713
    48.293     96.585    -0.008562     0.074163     0.066533    -436.538470439163
    48.293    105.366    -0.019782     0.071987     0.066533    -436.538843781511
    48.293    114.146    -0.030539     0.068123     0.066533    -436.539400792320
    48.293    122.927    -0.040580     0.062663     0.066533    -436.540107585294
    48.293    131.707    -0.049670     0.055734     0.066533    -436.540900821559
    48.293    140.488    -0.057596     0.047499     0.066533    -436.541688172789
    48.293    149.268    -0.064171     0.038150     0.066533    -436.542361126950
    48.293    158.049    -0.069243     0.027907     0.066533    -436.542813889380
    48.293    166.829    -0.072692     0.017010     0.066533    -436.542960330277
    48.293    175.610    -0.074436     0.005715     0.066533    -436.542744264155
    48.293    184.390    -0.074436    -0.005715     0.066533    -436.542143259397
    48.293    193.171    -0.072692    -0.017010     0.066533    -436.541169324084
    48.293    201.951    -0.069243    -0.027907     0.066533    -436.539869417148
    48.293    210.732    -0.064171    -0.038150     0.066533    -436.538325512555
    48.293    219.512    -0.057596    -0.047499     0.066533    -436.536650757580
    48.293    228.293    -0.049670    -0.055734     0.066533    -436.534978022316
    48.293    237.073    -0.040580    -0.062663     0.066533    -436.533440661511
    48.293    245.854    -0.030539    -0.068123     0.066533    -436.532150841500
    48.293    254.634    -0.019782    -0.071987     0.066533    -436.531184716117
    48.293    263.415    -0.008562    -0.074163     0.066533    -436.530581899988
    48.293    272.195     0.002860    -0.074601     0.066533    -436.530357868071
    48.293    280.976     0.014214    -0.073290     0.066533    -436.530518117586
    48.293    289.756     0.025235    -0.070261     0.066533    -436.531061596383
    48.293    298.537     0.035664    -0.065586     0.066533    -436.531970184742
    48.293    307.317     0.045258    -0.059373     0.066533    -436.533193116806
    48.293    316.098     0.053791    -0.051768     0.066533    -436.534639782963
    48.293    324.878     0.061063    -0.042951     0.066533    -436.536187868793
    48.293    333.659     0.066904    -0.033126     0.066533    -436.537703155493
    48.293    342.439     0.071176    -0.022525     0.066533    -436.539061525193
    48.293    351.220     0.073780    -0.011396     0.066533    -436.540165055487
    48.293    360.000     0.074655    -0.000000     0.066533    -436.540949386567
    52.683      0.000     0.079529     0.000000     0.060623    -436.537863411319
    52.683      8.780     0.078597     0.012140     0.060623    -436.538252511424
    52.683     17.561     0.075823     0.023996     0.060623    -436.538245175596
    52.683     26.341     0.071271     0.035289     0.060623    -436.537884332964
    52.683     35.122     0.065049     0.045755     0.060623    -436.537250305077
    52.683     43.902     0.057303     0.055148     0.060623    -436.536455768256
    52.683     52.683     0.048213     0.063249     0.060623    -436.535630523218
    52.683     61.463     0.037993     0.069867     0.060623    -436.534897627659
    52.683     70.244     0.026882     0.074848     0.060623    -436.534349556009
    52.683     79.024     0.015142     0.078075     0.060623    -436.534036241001
    52.683     87.805     0.003046     0.079471     0.060623    -436.533971595426
    52.683     96.585    -0.009121     0.079005     0.060623    -436.534152183128
    52.683    105.366    -0.021074     0.076686     0.060623    -436.534571601491
    52.683    114.146    -0.032533     0.072571     0.060623    -436.535217972679
    52.683    122.927    -0.043230     0.066754     0.060623    -436.536057269825
    52.683    131.707    -0.052913     0.059373     0.060623    -436.537017919750
    52.683    140.488    -0.061356     0.050600     0.060623    -436.537990776814
    52.683    149.268    -0.068361     0.040641     0.060623    -436.538846041756
    52.683    158.049    -0.073764     0.029729     0.060623    -436.539457787135
    52.683    166.829    -0.077437     0.018121     0.060623    -436.539724856705
    52.683    175.610    -0.079296     0.006088     0.060623    -436.539582069733
    52.683    184.390    -0.079296    -0.006088     0.060623    -436.539002735869
    52.683    193.171    -0.077437    -0.018121     0.060623    -436.537997913478
    52.683    201.951    -0.073764    -0.029729     0.060623    -436.536617079044
    52.683    210.732    -0.068361    -0.040641     0.060623    -436.534949912208
    52.683    219.512    -0.061356    -0.050600     0.060623    -436.533123951758
    52.683    228.293    -0.052913    -0.059373     0.060623    -436.531292228953
    52.683    237.073    -0.043230    -0.066754     0.060623    -436.529609799126
    52.683    245.854    -0.032533    -0.072571     0.060623    -436.528205910013
    52.683    254.634    -0.021074    -0.076686     0.060623    -436.527164533536
    52.683    263.415    -0.009121    -0.079005     0.060623    -436.526524208329
    52.683    272.195     0.003046    -0.079471     0.060623    -436.526295989364
    52.683    280.976     0.015142    -0.078075     0.060623    -436.526483936096
    52.683    289.756     0.026882    -0.074848     0.060623    -436.527090264961
    52.683    298.537     0.037993    -0.069867     0.060623    -436.528100465927
    52.683    307.317     0.048213    -0.063249     0.060623    -436.529460995409
    52.683    316.098     0.057303    -0.055148     0.060623    -436.531068604806
    52.683    324.878     0.065049    -0.045755     0.060623    -436.532780732898
    52.683    333.659     0.071271    -0.035289     0.060623    -436.534441203476
    52.683    342.439     0.075823    -0.023996     0.060623    -436.535907917109
    52.683    351.220     0.078597    -0.012140     0.060623    -436.537071738982
    52.683    360.000     0.079529    -0.000000     0.060623    -436.537863411319
    57.073      0.000     0.083937     0.000000     0.054357    -436.534948419390
    57.073      8.780     0.082953     0.012813     0.054357    -436.535278923414
    57.073     17.561     0.080025     0.025325     0.054357    -436.535163715087
    57.073     26.341     0.075221     0.037244     0.054357    -436.534650906903
    57.073     35.122     0.068654     0.048290     0.054357    -436.533831472791
    57.073     43.902     0.060478     0.058204     0.054357    -436.532835539433
    57.073     52.683     0.050884     0.066754     0.054357    -436.531815122927
    57.073     61.463     0.040098     0.073739     0.054357    -436.530914791007
    57.073     70.244     0.028372     0.078996     0.054357    -436.530241422415
    57.073     79.024     0.015981     0.082401     0.054357    -436.529849031907
    57.073     87.805     0.003215     0.083875     0.054357    -436.529748131718
    57.073     96.585    -0.009626     0.083383     0.054357    -436.529931441927
    57.073    105.366    -0.022242     0.080936     0.054357    -436.530393480728
    57.073    114.146    -0.034336     0.076592     0.054357    -436.531126774614
    57.073    122.927    -0.045625     0.070453     0.054357    -436.532098590456
    57.073    131.707    -0.055845     0.062663     0.054357    -436.533229518282
    57.073    140.488    -0.064756     0.053404     0.054357    -436.534392954584
    57.073    149.268    -0.072149     0.042893     0.054357    -436.535436891238
    57.073    158.049    -0.077851     0.031377     0.054357    -436.536214857982
    57.073    166.829    -0.081729     0.019125     0.054357    -436.536611072021
    57.073    175.610    -0.083690     0.006425     0.054357    -436.536552231037
    57.073    184.390    -0.083690    -0.006425     0.054357    -436.536008008603
    57.073    193.171    -0.081729    -0.019125     0.054357    -436.534988279807
    57.073    201.951    -0.077851    -0.031377     0.054357    -436.533543901549
    57.073    210.732    -0.072149    -0.042893     0.054357    -436.531770760967
    57.073    219.512    -0.064756    -0.053404     0.054357    -436.529809669742
    57.073    228.293    -0.055845    -0.062663     0.054357    -436.527833516249
    57.073    237.073    -0.045625    -0.070453     0.054357    -436.526019407701
    57.073    245.854    -0.034336    -0.076592     0.054357    -436.524513986993
    57.073    254.634    -0.022242    -0.080936     0.054357    -436.523408547972
    57.073    263.415    -0.009626    -0.083383     0.054357    -436.522739121493
    57.073    272.195     0.003215    -0.083875     0.054357    -436.522510803609
    57.073    280.976     0.015981    -0.082401     0.054357    -436.522725663640
    57.073    289.756     0.028372    -0.078996     0.054357    -436.523389980339
    57.073    298.537     0.040098    -0.073739     0.054357    -436.524494309259
    57.073    307.317     0.050884    -0.066754     0.054357    -436.525983355528
    57.073    316.098     0.060478    -0.058204     0.054357    -436.527741341921
    57.073    324.878     0.068654    -0.048290     0.054357    -436.529605073395
    57.073    333.659     0.075221    -0.037244     0.054357    -436.531396300368
    57.073    342.439     0.080025    -0.025325     0.054357    -436.532955582190
    57.073    351.220     0.082953    -0.012813     0.054357    -436.534163879074
    57.073    360.000     0.083937    -0.000000     0.054357    -436.534948419391
    61.463      0.000     0.087851     0.000000     0.047772    -436.532266801334
    61.463      8.780     0.086822     0.013410     0.047772    -436.532527961033
    61.463     17.561     0.083757     0.026507     0.047772    -436.532297341421
    61.463     26.341     0.078729     0.038981     0.047772    -436.531627306751
    61.463     35.122     0.071856     0.050542     0.047772    -436.530618504845
    61.463     43.902     0.063299     0.060919     0.047772    -436.529418007004
    61.463     52.683     0.053258     0.069867     0.047772    -436.528200112788
    61.463     61.463     0.041968     0.077178     0.047772    -436.527131176681
    61.463     70.244     0.029695     0.082680     0.047772    -436.526332360864
    61.463     79.024     0.016726     0.086244     0.047772    -436.525860879865
    61.463     87.805     0.003365     0.087787     0.047772    -436.525722569368
    61.463     96.585    -0.010075     0.087272     0.047772    -436.525905561855
    61.463    105.366    -0.023279     0.084711     0.047772    -436.526405717989
    61.463    114.146    -0.035937     0.080165     0.047772    -436.527221307342
    61.463    122.927    -0.047753     0.073739     0.047772    -436.528322223597
    61.463    131.707    -0.058450     0.065586     0.047772    -436.529621785704
    61.463    140.488    -0.067776     0.055895     0.047772    -436.530975763049
    61.463    149.268    -0.075514     0.044894     0.047772    -436.532209639671
    61.463    158.049    -0.081482     0.032840     0.047772    -436.533156558832
    61.463    166.829    -0.085540     0.020017     0.047772    -436.533686900382
    61.463    175.610    -0.087593     0.006725     0.047772    -436.533720332899
    61.463    184.390    -0.087593    -0.006725     0.047772    -436.533223640682
    61.463    193.171    -0.085540    -0.020017     0.047772    -436.532205364425
    61.463    201.951    -0.081482    -0.032840     0.047772    -436.530716616819
    61.463    210.732    -0.075514    -0.044894     0.047772    -436.528857838736
    61.463    219.512    -0.067776    -0.055895     0.047772    -436.526781581185
    61.463    228.293    -0.058450    -0.065586     0.047772    -436.524679626493
    61.463    237.073    -0.047753    -0.073739     0.047772    -436.522750760096
    61.463    245.854    -0.035937    -0.080165     0.047772    -436.521158827311
    61.463    254.634    -0.023279    -0.084711     0.047772    -436.520001861402
    61.463    263.415    -0.010075    -0.087272     0.047772    -436.519312226751
    61.463    272.195     0.003365    -0.087787     0.047772    -436.519087855055
    61.463    280.976     0.016726    -0.086244     0.047772    -436.519328351954
    61.463    289.756     0.029695    -0.082680     0.047772    -436.520044601818
    61.463    298.537     0.041968    -0.077178     0.047772    -436.521233335406
    61.463    307.317     0.053258    -0.069867     0.047772    -436.522838432380
    61.463    316.098     0.063299    -0.060919     0.047772    -436.524732028665
    61.463    324.878     0.071856    -0.050542     0.047772    -436.526730580696
    61.463    333.659     0.078729    -0.038981     0.047772    -436.528634387663
    61.463    342.439     0.083757    -0.026507     0.047772    -436.530267858151
    61.463    351.220     0.086822    -0.013410     0.047772    -436.531503618320
    61.463    360.000     0.087851    -0.000000     0.047772    -436.532266801334
    65.854      0.000     0.091250     0.000000     0.040907    -436.529875100376
    65.854      8.780     0.090181     0.013929     0.040907    -436.530057940969
    65.854     17.561     0.086998     0.027532     0.040907    -436.529707272483
    65.854     26.341     0.081775     0.040490     0.040907    -436.528878786762
    65.854     35.122     0.074636     0.052498     0.040907    -436.527681693462
    65.854     43.902     0.065748     0.063276     0.040907    -436.526279072568
    65.854     52.683     0.055318     0.072571     0.040907    -436.524866868924
    65.854     61.463     0.043592     0.080165     0.040907    -436.523632748393
    65.854     70.244     0.030844     0.085879     0.040907    -436.522711559432
    65.854     79.024     0.017373     0.089581     0.040907    -436.522162819877
    65.854     87.805     0.003495     0.091183     0.040907    -436.521986735397
    65.854     96.585    -0.010465     0.090648     0.040907    -436.522166392566
    65.854    105.366    -0.024180     0.087988     0.040907    -436.522699361574
    65.854    114.146    -0.037328     0.083266     0.040907    -436.523590661780
    65.854    122.927    -0.049601     0.076592     0.040907    -436.524813899286
    65.854    131.707    -0.060711     0.068123     0.040907    -436.526275843927
    65.854    140.488    -0.070399     0.058057     0.040907    -436.527815048493
    65.854    149.268    -0.078436     0.046631     0.040907    -436.529234938948
    65.854    158.049    -0.084635     0.034111     0.040907    -436.530349040954
    65.854    166.829    -0.088850     0.020792     0.040907    -436.531015008093
    65.854    175.610    -0.090983     0.006985     0.040907    -436.531146655407
    65.854    184.390    -0.090983    -0.006985     0.040907    -436.530708640010
    65.854    193.171    -0.088850    -0.020792     0.040907    -436.529708097179
    65.854    201.951    -0.084635    -0.034111     0.040907    -436.528195392431
    65.854    210.732    -0.078436    -0.046631     0.040907    -436.526273859857
    65.854    219.512    -0.070399    -0.058057     0.040907    -436.524105934759
    65.854    228.293    -0.060711    -0.068123     0.040907    -436.521900655599
    65.854    237.073    -0.049601    -0.076592     0.040907    -436.519877282194
    65.854    245.854    -0.037328    -0.083266     0.040907    -436.518216055008
    65.854    254.634    -0.024180    -0.087988     0.040907    -436.517021073663
    65.854    263.415    -0.010465    -0.090648     0.040907    -436.516320278533
    65.854    272.195     0.003495    -0.091183     0.040907    -436.516103724940
    65.854    280.976     0.017373    -0.089581     0.040907    -436.516368214839
    65.854    289.756     0.030844    -0.085879     0.040907    -436.517129436293
    65.854    298.537     0.043592    -0.080165     0.040907    -436.518390901031
    65.854    307.317     0.055318    -0.072571     0.040907    -436.520096406065
    65.854    316.098     0.065748    -0.063276     0.040907    -436.522106819922
    65.854    324.878     0.074636    -0.052498     0.040907    -436.524219317401
    65.854    333.659     0.081775    -0.040490     0.040907    -436.526214176928
    65.854    342.439     0.086998    -0.027532     0.040907    -436.527901366304
    65.854    351.220     0.090181    -0.013929     0.040907    -436.529146890125
    65.854    360.000     0.091250    -0.000000     0.040907    -436.529875100376
    70.244      0.000     0.094114     0.000000     0.033802    -436.527823174270
    70.244      8.780     0.093011     0.014366     0.033802    -436.527920590925
    70.244     17.561     0.089728     0.028396     0.033802    -436.527448058953
    70.244     26.341     0.084342     0.041760     0.033802    -436.526463801548
    70.244     35.122     0.076979     0.054146     0.033802    -436.525084447496
    70.244     43.902     0.067811     0.065262     0.033802    -436.523487742210
    70.244     52.683     0.057054     0.074848     0.033802    -436.521889870575
    70.244     61.463     0.044960     0.082680     0.033802    -436.520498492692
    70.244     70.244     0.031812     0.088574     0.033802    -436.519461035703
    70.244     79.024     0.017918     0.092393     0.033802    -436.518838488294
    70.244     87.805     0.003605     0.094045     0.033802    -436.518624944110
    70.244     96.585    -0.010793     0.093493     0.033802    -436.518798367729
    70.244    105.366    -0.024938     0.090750     0.033802    -436.519358311049
    70.244    114.146    -0.038499     0.085879     0.033802    -436.520317072267
    70.244    122.927    -0.051157     0.078996     0.033802    -436.521652677372
    70.244    131.707    -0.062616     0.070261     0.033802    -436.523266206284
    70.244    140.488    -0.072608     0.059879     0.033802    -436.524980065055
    70.244    149.268    -0.080898     0.048094     0.033802    -436.526576913296
    70.244    158.049    -0.087291     0.035181     0.033802    -436.527852068081
    70.244    166.829    -0.091638     0.021444     0.033802    -436.528651821689
    70.244    175.610    -0.093838     0.007204     0.033802    -436.528885265613
    70.244    184.390    -0.093838    -0.007204     0.033802    -436.528515599816
    70.244    193.171    -0.091638    -0.021444     0.033802    -436.527548550596
    70.244    201.951    -0.087291    -0.035181     0.033802    -436.526032946956
    70.244    210.732    -0.080898    -0.048094     0.033802    -436.524073486672
    70.244    219.512    -0.072608    -0.059879     0.033802    -436.521840416563
    70.244    228.293    -0.062616    -0.070261     0.033802    -436.519557740553
    70.244    237.073    -0.051157    -0.078996     0.033802    -436.517463105606
    70.244    245.854    -0.038499    -0.085879     0.033802    -436.515751653984
    70.244    254.634    -0.024938    -0.090750     0.033802    -436.514532778474
    70.244    263.415    -0.010793    -0.093493     0.033802    -436.513829725000
    70.244    272.195     0.003605    -0.094045     0.033802    -436.513624568630
    70.244    280.976     0.017918    -0.092393     0.033802    -436.513911145564
    70.244    289.756     0.031812    -0.088574     0.033802    -436.514709739567
    70.244    298.537     0.044960    -0.082680     0.033802    -436.516030636192
    70.244    307.317     0.057054    -0.074848     0.033802    -436.517818051038
    70.244    316.098     0.067811    -0.065262     0.033802    -436.519922808775
    70.244    324.878     0.076979    -0.054146     0.033802    -436.522124710189
    70.244    333.659     0.084342    -0.041760     0.033802    -436.524186273443
    70.244    342.439     0.089728    -0.028396     0.033802    -436.525905201364
    70.244    351.220     0.093011    -0.014366     0.033802    -436.527142614403
    70.244    360.000     0.094114    -0.000000     0.033802    -436.527823174271
    74.634      0.000     0.096425     0.000000     0.026498    -436.526153439268
    74.634      8.780     0.095295     0.014719     0.026498    -436.526160251286
    74.634     17.561     0.091932     0.029094     0.026498    -436.525566743620
    74.634     26.341     0.086413     0.042786     0.026498    -436.524433092961
    74.634     35.122     0.078869     0.055475     0.026498    -436.522882249852
    74.634     43.902     0.069477     0.066864     0.026498    -436.521104899968
    74.634     52.683     0.058455     0.076686     0.026498    -436.519335273620
    74.634     61.463     0.046064     0.084711     0.026498    -436.517798831558
    74.634     70.244     0.032593     0.090750     0.026498    -436.516653964127
    74.634     79.024     0.018359     0.094662     0.026498    -436.515962433307
    74.634     87.805     0.003693     0.096355     0.026498    -436.515712315782
    74.634     96.585    -0.011058     0.095789     0.026498    -436.515876819365
    74.634    105.366    -0.025551     0.092978     0.026498    -436.516457621835
    74.634    114.146    -0.039445     0.087988     0.026498    -436.517474249435
    74.634    122.927    -0.052414     0.080936     0.026498    -436.518909381876
    74.634    131.707    -0.064154     0.071987     0.026498    -436.520659380126
    74.634    140.488    -0.074391     0.061350     0.026498    -436.522532267961
    74.634    149.268    -0.082884     0.049275     0.026498    -436.524292115188
    74.634    158.049    -0.089435     0.036045     0.026498    -436.525718081673
    74.634    166.829    -0.093889     0.021971     0.026498    -436.526646657733
    74.634    175.610    -0.096142     0.007381     0.026498    -436.526983194146
    74.634    184.390    -0.096142    -0.007381     0.026498    -436.526689923127
    74.634    193.171    -0.093889    -0.021971     0.026498    -436.525771204817
    74.634    201.951    -0.089435    -0.036045     0.026498    -436.524273816130
    74.634    210.732    -0.082884    -0.049275     0.026498    -436.522302526975
    74.634    219.512    -0.074391    -0.061350     0.026498    -436.520033206979
    74.634    228.293    -0.064154    -0.071987     0.026498    -436.517701943363
    74.634    237.073    -0.052414    -0.080936     0.026498    -436.515561812120
    74.634    245.854    -0.039445    -0.087988     0.026498    -436.513820658205
    74.634    254.634    -0.025551    -0.092978     0.026498    -436.512592282862
    74.634    263.415    -0.011058    -0.095789     0.026498    -436.511895483896
    74.634    272.195     0.003693    -0.096355     0.026498    -436.511704911087
    74.634    280.976     0.018359    -0.094662     0.026498    -436.512011478064
    74.634    289.756     0.032593    -0.090750     0.026498    -436.512839434367
    74.634    298.537     0.046064    -0.084711     0.026498    -436.514205177796
    74.634    307.317     0.058455    -0.076686     0.026498    -436.516053576283
    74.634    316.098     0.069477    -0.066864     0.026498    -436.518227037109
    74.634    324.878     0.078869    -0.055475     0.026498    -436.520490729693
    74.634    333.659     0.086413    -0.042786     0.026498    -436.522592466071
    74.634    342.439     0.091932    -0.029094     0.026498    -436.524320251828
    74.634    351.220     0.095295    -0.014719     0.026498    -436.525531989673
    74.634    360.000     0.096425    -0.000000     0.026498    -436.526153439267
    79.024      0.000     0.098171     0.000000     0.019039    -436.524900205924
    79.024      8.780     0.097020     0.014986     0.019039    -436.524813182237
    79.024     17.561     0.093596     0.029620     0.019039    -436.524102152363
    79.024     26.341     0.087977     0.043560     0.019039    -436.522828932320
    79.024     35.122     0.080297     0.056480     0.019039    -436.521121780983
    79.024     43.902     0.070734     0.068075     0.019039    -436.519182246540
    79.024     52.683     0.059514     0.078075     0.019039    -436.517259648078
    79.024     61.463     0.046898     0.086244     0.019039    -436.515594210026
    79.024     70.244     0.033183     0.092393     0.019039    -436.514353205902
    79.024     79.024     0.018691     0.096375     0.019039    -436.513598661139
    79.024     87.805     0.003760     0.098099     0.019039    -436.513313350081
    79.024     96.585    -0.011259     0.097523     0.019039    -436.513466539825
    79.024    105.366    -0.026013     0.094662     0.019039    -436.514062029256
    79.024    114.146    -0.040159     0.089581     0.019039    -436.515125901383
    79.024    122.927    -0.053362     0.082401     0.019039    -436.516645206136
    79.024    131.707    -0.065316     0.073290     0.019039    -436.518512638541
    79.024    140.488    -0.075738     0.062460     0.019039    -436.520524279333
    79.024    149.268    -0.084385     0.050167     0.019039    -436.522428648789
    79.024    158.049    -0.091054     0.036698     0.019039    -436.523991413250
    79.024    166.829    -0.095588     0.022369     0.019039    -436.525040969284
    79.024    175.610    -0.097883     0.007515     0.019039    -436.525479703712
    79.024    184.390    -0.097883    -0.007515     0.019039    -436.525269134726
    79.024    193.171    -0.095588    -0.022369     0.019039    -436.524412319602
    79.024    201.951    -0.091054    -0.036698     0.019039    -436.522953759970
    79.024    210.732    -0.084385    -0.050167     0.019039    -436.520997305299
    79.024    219.512    -0.075738    -0.062460     0.019039    -436.518722233128
    79.024    228.293    -0.065316    -0.073290     0.019039    -436.516373340103
    79.024    237.073    -0.053362    -0.082401     0.019039    -436.514215387140
    79.024    245.854    -0.040159    -0.089581     0.019039    -436.512466058627
    79.024    254.634    -0.026013    -0.094662     0.019039    -436.511242558659
    79.024    263.415    -0.011259    -0.097523     0.019039    -436.510559966765
    79.024    272.195     0.003760    -0.098099     0.019039    -436.510386697422
    79.024    280.976     0.018691    -0.096375     0.019039    -436.510710995995
    79.024    289.756     0.033183    -0.092393     0.019039    -436.511560059759
    79.024    298.537     0.046898    -0.086244     0.019039    -436.512955118772
    79.024    307.317     0.059514    -0.078075     0.019039    -436.514841671037
    79.024    316.098     0.070734    -0.068075     0.019039    -436.517055702811
    79.024    324.878     0.080297    -0.056480     0.019039    -436.519351251814
    79.024    333.659     0.087977    -0.043560     0.019039    -436.521465173482
    79.024    342.439     0.093596    -0.029620     0.019039    -436.523178645663
    79.024    351.220     0.097020    -0.014986     0.019039    -436.524347884878
    79.024    360.000     0.098171    -0.000000     0.019039    -436.524900205923
    83.415      0.000     0.099340     0.000000     0.011468    -436.524089123038
    83.415      8.780     0.098176     0.015164     0.011468    -436.523906990475
    83.415     17.561     0.094711     0.029973     0.011468    -436.523084321695
    83.415     26.341     0.089025     0.044079     0.011468    -436.521684513753
    83.415     35.122     0.081253     0.057152     0.011468    -436.519840202449
    83.415     43.902     0.071577     0.068886     0.011468    -436.517761404377
    83.415     52.683     0.060223     0.079005     0.011468    -436.515708892124
    83.415     61.463     0.047457     0.087272     0.011468    -436.513933879115
    83.415     70.244     0.033579     0.093493     0.011468    -436.512610060677
    83.415     79.024     0.018913     0.097523     0.011468    -436.511799428958
    83.415     87.805     0.003805     0.099267     0.011468    -436.511480758078
    83.415     96.585    -0.011393     0.098685     0.011468    -436.511620596295
    83.415    105.366    -0.026323     0.095789     0.011468    -436.512224704560
    83.415    114.146    -0.040637     0.090648     0.011468    -436.513324461637
    83.415    122.927    -0.053998     0.083383     0.011468    -436.514910505176
    83.415    131.707    -0.066094     0.074163     0.011468    -436.516872968419
    83.415    140.488    -0.076640     0.063204     0.011468    -436.518999024133
    83.415    149.268    -0.085390     0.050765     0.011468    -436.521025455094
    83.415    158.049    -0.092138     0.037135     0.011468    -436.522707642811
    83.415    166.829    -0.096727     0.022635     0.011468    -436.523867717111
    83.415    175.610    -0.099049     0.007604     0.011468    -436.524405663373
    83.415    184.390    -0.099049    -0.007604     0.011468    -436.524282292232
    83.415    193.171    -0.096727    -0.022635     0.011468    -436.523499415586
    83.415    201.951    -0.092138    -0.037135     0.011468    -436.522099302986
    83.415    210.732    -0.085390    -0.050765     0.011468    -436.520184197307
    83.415    219.512    -0.076640    -0.063204     0.011468    -436.517934612980
    83.415    228.293    -0.066094    -0.074163     0.011468    -436.515600323873
    83.415    237.073    -0.053998    -0.083383     0.011468    -436.513453401039
    83.415    245.854    -0.040637    -0.090648     0.011468    -436.511717945265
    83.415    254.634    -0.026323    -0.095789     0.011468    -436.510513433653
    83.415    263.415    -0.011393    -0.098685     0.011468    -436.509852346748
    83.415    272.195     0.003805    -0.099267     0.011468    -436.509698590382
    83.415    280.976     0.018913    -0.097523     0.011468    -436.510038189948
    83.415    289.756     0.033579    -0.093493     0.011468    -436.510899965499
    83.415    298.537     0.047457    -0.087272     0.011468    -436.512308193539
    83.415    307.317     0.060223    -0.079005     0.011468    -436.514208772011
    83.415    316.098     0.071577    -0.068886     0.011468    -436.516433567105
    83.415    324.878     0.081253    -0.057152     0.011468    -436.518729593060
    83.415    333.659     0.089025    -0.044079     0.011468    -436.520827037030
    83.415    342.439     0.094711    -0.029973     0.011468    -436.522503318986
    83.415    351.220     0.098176    -0.015164     0.011468    -436.523614340007
    83.415    360.000     0.099340    -0.000000     0.011468    -436.524089123038
    87.805      0.000     0.099927     0.000000     0.003830    -436.523736748671
