theta,phi,Ex,Ey,Ez,lambda_magnitude,E_ortho_Hartrees,E_meta_Hartrees,zpe_ortho_Hartrees,zpe_meta_Hartrees,dE_ortho_meta_raw_kcal/mol,dE_ortho_meta_zpe_kcal/mol,ortho_converged,meta_converged,ortho_has_freq,meta_has_freq
70,31,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,-3010.525174986881,-3010.52786153026,0.10560498825615203,0.10551304486110706,1.6858301490787213,1.7435254569890182,True,True,True,True
70,31,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,-3010.5003653604986,-3010.500897734624,0.10586904151419438,0.10583089948862616,0.3340695549389866,0.35800401947861066,True,True,True,True
70,31,0.04832842723492504,0.029038648705005464,0.02052120859954013,0.06,-3010.459599823373,-3010.456892534176,0.10631886150317295,0.10634883317384358,-1.6988483368036833,-1.7176558299480553,True,True,True,True
70,31,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,-3010.4035489199714,-3010.3969753326455,0.10685981222707219,0.10697703066760356,-4.124985209272208,-4.198540835754925,True,True,True,True
70,31,0.08054737872487508,0.04839774784167578,0.03420201433256689,0.1,-3010.332923598972,-3010.32216648569,0.10755231277061945,0.10766307581709941,-6.750185398267568,-6.819690206782551,True,True,True,True
