     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    60.000     73.000     0.025320     0.082818     0.050000   -3010.303230625954   -3010.302003201673
    60.000     74.000     0.023871     0.083248     0.050000   -3010.303310040307   -3010.302014067520
    60.000     75.000     0.022414     0.083652     0.050000   -3010.303393671302   -3010.302039183100
    60.000     76.000     0.020951     0.084030     0.050000   -3010.303481500850   -3010.302078568920
    60.000     77.000     0.019481     0.084383     0.050000   -3010.303573505374   -3010.302132229808
    60.000     78.000     0.018006     0.084710     0.050000   -3010.303669655692   -3010.302200154749
    60.000     79.000     0.016525     0.085011     0.050000   -3010.303769917049   -3010.302282316773
    60.000     80.000     0.015038     0.085287     0.050000   -3010.303874249124   -3010.302378672854
    60.000     81.000     0.013548     0.085536     0.050000   -3010.303982605965   -3010.302489163829
    60.000     82.000     0.012053     0.085760     0.050000   -3010.304094936118   -3010.302613714328
    60.000     83.000     0.010554     0.085957     0.050000   -3010.304211182675   -3010.302752232770
    60.000     84.000     0.009052     0.086128     0.050000   -3010.304331283324   -3010.302904611307
    60.000     85.000     0.007548     0.086273     0.050000   -3010.304455170551   -3010.303070725894
    60.000     86.000     0.006041     0.086392     0.050000   -3010.304582771759   -3010.303250436299
    60.000     87.000     0.004532     0.086484     0.050000   -3010.304714009440   -3010.303443586185
    60.000     88.000     0.003022     0.086550     0.050000   -3010.304848801479   -3010.303650003223
    60.000     89.000     0.001511     0.086589     0.050000   -3010.304987061296   -3010.303869499213
    61.000     69.000     0.031344     0.081653     0.048481   -3010.302373427284   -3010.301452040294
    61.000     70.000     0.029914     0.082187     0.048481   -3010.302432463175   -3010.301405197913
    61.000     71.000     0.028475     0.082697     0.048481   -3010.302495756337   -3010.301372599146
    61.000     72.000     0.027027     0.083181     0.048481   -3010.302563311129   -3010.301354327160
    61.000     73.000     0.025571     0.083640     0.048481   -3010.302635126672   -3010.301350449784
    61.000     74.000     0.024108     0.084074     0.048481   -3010.302711196753   -3010.301361019308
    61.000     75.000     0.022637     0.084482     0.048481   -3010.302791509757   -3010.301386072338
    61.000     76.000     0.021159     0.084864     0.048481   -3010.302876048594   -3010.301425629538
    61.000     77.000     0.019675     0.085220     0.048481   -3010.302964790636   -3010.301479695551
    61.000     78.000     0.018184     0.085551     0.048481   -3010.303057707638   -3010.301548258799
    61.000     79.000     0.016689     0.085855     0.048481   -3010.303154765755   -3010.301631291376
    61.000     80.000     0.015188     0.086133     0.048481   -3010.303255925495   -3010.301728748962
    61.000     81.000     0.013682     0.086385     0.048481   -3010.303361141753   -3010.301840570715
    61.000     82.000     0.012172     0.086611     0.048481   -3010.303470363843   -3010.301966679224
    61.000     83.000     0.010659     0.086810     0.048481   -3010.303583535567   -3010.302106980482
    61.000     84.000     0.009142     0.086983     0.048481   -3010.303700595323   -3010.302261363853
    61.000     85.000     0.007623     0.087129     0.048481   -3010.303821476226   -3010.302429702130
    61.000     86.000     0.006101     0.087249     0.048481   -3010.303946106291   -3010.302611851538
    61.000     87.000     0.004577     0.087342     0.048481   -3010.304074408599   -3010.302807651848
    61.000     88.000     0.003052     0.087409     0.048481   -3010.304206301538   -3010.303016926486
    61.000     89.000     0.001526     0.087449     0.048481   -3010.304341699069   -3010.303239482623
    62.000     69.000     0.031642     0.082430     0.046947   -3010.301809484220   -3010.300827387443
    62.000     70.000     0.030199     0.082970     0.046947   -3010.301864959216   -3010.300779344151
    62.000     71.000     0.028746     0.083484     0.046947   -3010.301924709651   -3010.300745767514
    62.000     72.000     0.027285     0.083973     0.046947   -3010.301988740925   -3010.300726742196
    62.000     73.000     0.025815     0.084437     0.046947   -3010.302057053214   -3010.300722337211
    62.000     74.000     0.024337     0.084874     0.046947   -3010.302129641384   -3010.300732605670
    62.000     75.000     0.022852     0.085286     0.046947   -3010.302206494855   -3010.300757584635
    62.000     76.000     0.021360     0.085672     0.046947   -3010.302287597620   -3010.300797294907
    62.000     77.000     0.019862     0.086032     0.046947   -3010.302372928052   -3010.300851740873
    62.000     78.000     0.018358     0.086365     0.046947   -3010.302462458953   -3010.300920910359
