theta	phi	energy
23.47826086956522	31.304347826086957	-3007.804961087910215
46.95652173913044	250.43478260869566	-3007.834375054677366
31.304347826086957	297.39130434782606	-3007.834488777077695
101.73913043478261	93.91304347826087	-3007.811170445100288
93.91304347826087	0.0	-3007.804139430976193
15.652173913043478	156.52173913043478	-3007.812577998171491
93.91304347826087	125.21739130434783	-3007.805041557482127
46.95652173913044	62.608695652173914	-3007.782744606333381
164.34782608695653	156.52173913043478	-3007.823085829840238
180.0	187.82608695652175	-3007.819266318420887
93.91304347826087	15.652173913043478	-3007.805487682747753
86.08695652173913	62.608695652173914	-3007.798369634165738
101.73913043478261	234.7826086956522	-3007.794430202768126
101.73913043478261	250.43478260869566	-3007.790274910409153
140.8695652173913	15.652173913043478	-3007.819535324217668
46.95652173913044	93.91304347826087	-3007.779001704482653
148.69565217391303	172.17391304347825	-3007.816847733130544
109.56521739130434	93.91304347826087	-3007.818841317310216
133.04347826086956	172.17391304347825	-3007.812901592150865
0.0	140.8695652173913	-3007.819266318419523
117.3913043478261	172.17391304347825	-3007.808672206281699
164.34782608695653	31.304347826086957	-3007.825510069327265
125.21739130434783	109.56521739130434	-3007.829479880592771
78.26086956521739	187.82608695652175	-3007.806027729189736
172.17391304347825	187.82608695652175	-3007.817619866232690
15.652173913043478	109.56521739130434	-3007.803916601357287
78.26086956521739	234.7826086956522	-3007.812232846624283
62.608695652173914	15.652173913043478	-3007.801734257862790
0.0	266.0869565217391	-3007.819266318422706
15.652173913043478	62.608695652173914	-3007.804235737677118
86.08695652173913	93.91304347826087	-3007.795470194622339
172.17391304347825	62.608695652173914	-3007.825591629970404
86.08695652173913	31.304347826086957	-3007.803321846859944
117.3913043478261	93.91304347826087	-3007.825701492293774
125.21739130434783	266.0869565217391	-3007.777666908204083
70.43478260869566	156.52173913043478	-3007.800368969588817
164.34782608695653	78.26086956521739	-3007.831694081238311
7.826086956521739	156.52173913043478	-3007.816126056156008
172.17391304347825	250.43478260869566	-3007.811559443928672
164.34782608695653	328.69565217391306	-3007.810758310165056
70.43478260869566	140.8695652173913	-3007.796558979506699
78.26086956521739	328.69565217391306	-3007.808202448924931
117.3913043478261	219.1304347826087	-3007.793122227692038
101.73913043478261	78.26086956521739	-3007.811556046459827
140.8695652173913	219.1304347826087	-3007.794289238017882
140.8695652173913	328.69565217391306	-3007.800048305980454
0.0	31.304347826086957	-3007.819266318425434
31.304347826086957	344.3478260869565	-3007.819887099200514
39.130434782608695	360.0	-3007.811693906817709
140.8695652173913	140.8695652173913	-3007.826993870083243
