theta	phi	energy
86.08695652173913	234.7826086956522	-3007.797076600613309
62.608695652173914	344.3478260869565	-3007.761913004962935
31.304347826086957	266.0869565217391	-3007.810413470032927
101.73913043478261	140.8695652173913	-3007.783224241651624
0.0	250.43478260869566	-3007.813866912619687
180.0	203.47826086956522	-3007.813866912617868
148.69565217391303	266.0869565217391	-3007.804059333363057
140.8695652173913	344.3478260869565	-3007.850423920979665
46.95652173913044	360.0	-3007.756519277193547
140.8695652173913	172.17391304347825	-3007.760895279334363
101.73913043478261	93.91304347826087	-3007.796773640260653
31.304347826086957	234.7826086956522	-3007.831040462273904
31.304347826086957	203.47826086956522	-3007.846017681375542
148.69565217391303	93.91304347826087	-3007.805026590979196
54.78260869565217	313.04347826086956	-3007.772778174057748
101.73913043478261	31.304347826086957	-3007.808363093703520
125.21739130434783	266.0869565217391	-3007.797064220475932
93.91304347826087	266.0869565217391	-3007.796398448572290
78.26086956521739	281.7391304347826	-3007.794803520118421
148.69565217391303	15.652173913043478	-3007.848183520502062
164.34782608695653	46.95652173913044	-3007.828595729223707
109.56521739130434	140.8695652173913	-3007.776080032707796
172.17391304347825	281.7391304347826	-3007.815799559476091
125.21739130434783	187.82608695652175	-3007.756282474732870
133.04347826086956	140.8695652173913	-3007.768507565283471
0.0	15.652173913043478	-3007.813866912620597
23.47826086956522	125.21739130434783	-3007.829620410859661
164.34782608695653	125.21739130434783	-3007.798520529493544
15.652173913043478	344.3478260869565	-3007.789261783975689
70.43478260869566	250.43478260869566	-3007.806052611359974
125.21739130434783	203.47826086956522	-3007.759051591065145
140.8695652173913	234.7826086956522	-3007.778139818166892
46.95652173913044	234.7826086956522	-3007.828168566248223
140.8695652173913	93.91304347826087	-3007.802337721291224
7.826086956521739	93.91304347826087	-3007.814091612515767
78.26086956521739	313.04347826086956	-3007.785671084411206
86.08695652173913	125.21739130434783	-3007.801382064222253
39.130434782608695	62.608695652173914	-3007.783373682639649
101.73913043478261	78.26086956521739	-3007.800139222132657
148.69565217391303	78.26086956521739	-3007.815787085157808
62.608695652173914	46.95652173913044	-3007.771179674653467
7.826086956521739	203.47826086956522	-3007.824975067308969
39.130434782608695	46.95652173913044	-3007.773424400587828
70.43478260869566	328.69565217391306	-3007.772968081959789
101.73913043478261	297.39130434782606	-3007.806472842694802
78.26086956521739	344.3478260869565	-3007.776997097473213
156.52173913043478	172.17391304347825	-3007.777106213004572
7.826086956521739	313.04347826086956	-3007.805004312464916
101.73913043478261	250.43478260869566	-3007.789542119281123
31.304347826086957	156.52173913043478	-3007.846630259343328
156.52173913043478	250.43478260869566	-3007.798089172075834
70.43478260869566	187.82608695652175	-3007.823756577198310
140.8695652173913	62.608695652173914	-3007.825257222164964
125.21739130434783	46.95652173913044	-3007.828631303084421
62.608695652173914	281.7391304347826	-3007.792738294853734
125.21739130434783	219.1304347826087	-3007.765256097375186
101.73913043478261	313.04347826086956	-3007.810209007606773
78.26086956521739	219.1304347826087	-3007.807198486927064
133.04347826086956	281.7391304347826	-3007.811684559628247
172.17391304347825	15.652173913043478	-3007.825553718509582
54.78260869565217	78.26086956521739	-3007.790972938935283
46.95652173913044	172.17391304347825	-3007.849824919454932
23.47826086956522	313.04347826086956	-3007.787653126350506
109.56521739130434	313.04347826086956	-3007.818369976206213
0.0	281.7391304347826	-3007.813866912621052
93.91304347826087	360.0	-3007.798807796428264
39.130434782608695	172.17391304347825	-3007.851653099505711
172.17391304347825	297.39130434782606	-3007.819060488678588
164.34782608695653	109.56521739130434	-3007.804228453768246
156.52173913043478	281.7391304347826	-3007.816474373297751
180.0	266.0869565217391	-3007.813866912619687
156.52173913043478	15.652173913043478	-3007.843360733941608
54.78260869565217	156.52173913043478	-3007.841686486427534
70.43478260869566	140.8695652173913	-3007.820838251960595
125.21739130434783	125.21739130434783	-3007.777507705015523
93.91304347826087	93.91304347826087	-3007.797163030186312
140.8695652173913	187.82608695652175	-3007.760378754398971
101.73913043478261	360.0	-3007.811906980825370
70.43478260869566	46.95652173913044	-3007.775197828017099
23.47826086956522	328.69565217391306	-3007.781889435967969
164.34782608695653	187.82608695652175	-3007.788409231152400
7.826086956521739	250.43478260869566	-3007.817647541485712
180.0	46.95652173913044	-3007.813866912620142
7.826086956521739	109.56521739130434	-3007.817466476868503
62.608695652173914	187.82608695652175	-3007.834861082041243
172.17391304347825	187.82608695652175	-3007.801061374637811
125.21739130434783	328.69565217391306	-3007.839016742639615
101.73913043478261	172.17391304347825	-3007.775712573717556
15.652173913043478	62.608695652173914	-3007.800624051079467
23.47826086956522	93.91304347826087	-3007.811797476146239
78.26086956521739	172.17391304347825	-3007.812378914555666
93.91304347826087	328.69565217391306	-3007.801207454610449
46.95652173913044	125.21739130434783	-3007.829808231433617
62.608695652173914	0.0	-3007.759399218224189
78.26086956521739	62.608695652173914	-3007.786530712534386
86.08695652173913	109.56521739130434	-3007.800060824835327
86.08695652173913	297.39130434782606	-3007.795359647879195
172.17391304347825	266.0869565217391	-3007.812375023092500
133.04347826086956	187.82608695652175	-3007.756632796191298
39.130434782608695	297.39130434782606	-3007.785488249308855
180.0	156.52173913043478	-3007.813866912621052
172.17391304347825	46.95652173913044	-3007.822009420812719
62.608695652173914	109.56521739130434	-3007.811911344290365
109.56521739130434	15.652173913043478	-3007.822578188193802
117.3913043478261	328.69565217391306	-3007.831872364402898
140.8695652173913	281.7391304347826	-3007.813791890561333
133.04347826086956	219.1304347826087	-3007.765891105817445
93.91304347826087	109.56521739130434	-3007.796148085248660
125.21739130434783	15.652173913043478	-3007.841979020228791
31.304347826086957	313.04347826086956	-3007.780657238854019
62.608695652173914	78.26086956521739	-3007.790580132965260
39.130434782608695	93.91304347826087	-3007.807497783266626
180.0	297.39130434782606	-3007.813866912617868
172.17391304347825	140.8695652173913	-3007.803843009076445
164.34782608695653	219.1304347826087	-3007.793227565946836
133.04347826086956	234.7826086956522	-3007.775061175852443
125.21739130434783	140.8695652173913	-3007.768409093283026
54.78260869565217	125.21739130434783	-3007.826348171068275
164.34782608695653	31.304347826086957	-3007.832871297931888
46.95652173913044	203.47826086956522	-3007.845011203588911
31.304347826086957	46.95652173913044	-3007.779027456889253
7.826086956521739	46.95652173913044	-3007.804754237826273
164.34782608695653	93.91304347826087	-3007.810527391678079
70.43478260869566	266.0869565217391	-3007.799998681673060
148.69565217391303	203.47826086956522	-3007.769889958858585
156.52173913043478	266.0869565217391	-3007.807117958108847
140.8695652173913	328.69565217391306	-3007.845200564987408
93.91304347826087	281.7391304347826	-3007.799066681505792
117.3913043478261	78.26086956521739	-3007.806047581838811
15.652173913043478	46.95652173913044	-3007.795389576986508
15.652173913043478	266.0869565217391	-3007.813764848670871
156.52173913043478	156.52173913043478	-3007.779739188651547
15.652173913043478	156.52173913043478	-3007.834501268449003
125.21739130434783	62.608695652173914	-3007.819158594727924
78.26086956521739	31.304347826086957	-3007.777011358882191
23.47826086956522	78.26086956521739	-3007.802520870790886
23.47826086956522	15.652173913043478	-3007.777649308345644
172.17391304347825	93.91304347826087	-3007.812627525858716
156.52173913043478	219.1304347826087	-3007.783535094398758
156.52173913043478	344.3478260869565	-3007.843559808817645
140.8695652173913	140.8695652173913	-3007.771376711013090
46.95652173913044	313.04347826086956	-3007.772955692506912
93.91304347826087	297.39130434782606	-3007.800839044978147
78.26086956521739	15.652173913043478	-3007.774816650427056
133.04347826086956	15.652173913043478	-3007.847544380748786
86.08695652173913	172.17391304347825	-3007.799421276425619
46.95652173913044	344.3478260869565	-3007.758928553232636
133.04347826086956	203.47826086956522	-3007.759551805203046
86.08695652173913	250.43478260869566	-3007.797224618250766
180.0	125.21739130434783	-3007.813866912616959
39.130434782608695	266.0869565217391	-3007.808167758204036
39.130434782608695	187.82608695652175	-3007.851245166910758
70.43478260869566	109.56521739130434	-3007.808150780793767
0.0	78.26086956521739	-3007.813866912620597
133.04347826086956	172.17391304347825	-3007.757292030864846
78.26086956521739	360.0	-3007.774903485722007
46.95652173913044	297.39130434782606	-3007.783091464438257
140.8695652173913	250.43478260869566	-3007.789030626239310
39.130434782608695	140.8695652173913	-3007.841331101170454
156.52173913043478	297.39130434782606	-3007.825473280934602
156.52173913043478	62.608695652173914	-3007.825500935593482
86.08695652173913	78.26086956521739	-3007.794781706068989
62.608695652173914	15.652173913043478	-3007.760109501532497
86.08695652173913	203.47826086956522	-3007.797403025587300
54.78260869565217	281.7391304347826	-3007.793002584166061
70.43478260869566	78.26086956521739	-3007.791199672033599
62.608695652173914	360.0	-3007.759399218223280
7.826086956521739	281.7391304347826	-3007.810949408686611
86.08695652173913	266.0869565217391	-3007.797339797840323
31.304347826086957	187.82608695652175	-3007.849564201441353
86.08695652173913	0.0	-3007.786178165358706
140.8695652173913	125.21739130434783	-3007.780363003289494
15.652173913043478	172.17391304347825	-3007.836359099581387
180.0	0.0	-3007.813866912619233
0.0	172.17391304347825	-3007.813866912617414
46.95652173913044	250.43478260869566	-3007.817315060917281
172.17391304347825	156.52173913043478	-3007.802064704404984
7.826086956521739	234.7826086956522	-3007.820677235626590
164.34782608695653	297.39130434782606	-3007.822992754099687
78.26086956521739	125.21739130434783	-3007.808525705996090
164.34782608695653	344.3478260869565	-3007.835659679183664
54.78260869565217	266.0869565217391	-3007.803681158790823
180.0	328.69565217391306	-3007.813866912618323
125.21739130434783	344.3478260869565	-3007.843482226711330
156.52173913043478	328.69565217391306	-3007.839634428501085
23.47826086956522	187.82608695652175	-3007.844433200421008
180.0	219.1304347826087	-3007.813866912619687
140.8695652173913	297.39130434782606	-3007.825945954743020
172.17391304347825	109.56521739130434	-3007.809319603842141
0.0	328.69565217391306	-3007.813866912618778
7.826086956521739	156.52173913043478	-3007.824934996463980
15.652173913043478	93.91304347826087	-3007.813336531695768
54.78260869565217	140.8695652173913	-3007.835509629595435
