theta,phi,Ex,Ey,Ez,lambda_magnitude,E_ortho_Hartrees,E_meta_Hartrees,E_para_Hartrees,dE_ortho_meta_kcal/mol,dE_para_meta_kcal/mol,dE_ortho_para_kcal/mol
70.0,31.0,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,-3007.921306301645,-3007.92280322318,-3007.9148024084275,0.939332445084051,5.020587057385886,-4.081254612301835
70.0,31.0,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,-3007.919609979893,-3007.919065248832,-3007.9111615520164,-0.34182390154814013,4.959644631815278,-5.301468533363418
70.0,31.0,0.048328427234925045,0.029038648705005464,0.02052120859954013,0.06,-3007.9168230079567,-3007.912972241948,-3007.905209882586,-2.4163921529106345,4.870954040740315,-7.28734619365095
70.0,31.0,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,-3007.9130036624297,-3007.904729252651,-3007.897123211412,-5.192270528320961,4.772862937801572,-9.965133466122532
70.0,31.0,0.08054737872487508,0.048397747841675776,0.03420201433256689,0.1,-3007.908229823793,-3007.8946261482683,-3007.8871513405106,-8.536435273886962,4.6905126847677225,-13.226947958654684
