     theta       phi           Ex           Ey           Ez            Para_E_el            Para_E_ph           Para_E_blc           Para_E_dse           Ortho_E_el           Ortho_E_ph          Ortho_E_blc          Ortho_E_dse            Meta_E_el            Meta_E_ph           Meta_E_blc           Meta_E_dse
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000     0.000     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000     4.045     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000     8.090     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    12.135     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    16.180     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    20.225     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    24.270     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    28.315     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    32.360     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    36.404     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    40.449     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    44.494     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
     0.000    48.539     0.000000     0.000000     0.100000   -3007.947626734171       0.033436273027      -0.003510297066       0.009104039501   -3007.953249650031       0.033499605841      -0.004037816981       0.010319613883   -3007.955742831022       0.033417399119      -0.003323734244       0.008566960294
