theta,phi,Ex,Ey,Ez,lambda_magnitude,E_ortho_Hartrees,E_meta_Hartrees,E_para_Hartrees,dE_ortho_meta_kcal/mol,dE_para_meta_kcal/mol,dE_ortho_para_kcal/mol
65.0,78.0,0.003768639688081835,0.01773005574832528,0.00845236523481399,0.02,-3007.9208790393077,-3007.922861380287,-3007.9154303271944,1.2439377453586928,4.663056217909778,-3.419118472551085
65.0,78.0,0.00753727937616367,0.03546011149665056,0.01690473046962798,0.04,-3007.9179097526926,-3007.9192852680453,-3007.9136454181134,0.8631489155510205,3.539059264540987,-2.6759103489899663
65.0,78.0,0.011305919064245504,0.053190167244975835,0.025357095704441966,0.06,-3007.9130323197055,-3007.913421675308,-3007.9106945172034,0.24432432946901428,1.7113175480235998,-1.4669932185545855
65.0,78.0,0.01507455875232734,0.07092022299330113,0.03380946093925596,0.08,-3007.9063578710447,-3007.905420120427,-3007.9066151530133,-0.588447396849484,-0.7498942695986267,0.16144687274914268
65.0,78.0,0.018843198440409173,0.0886502787416264,0.04226182617406995,0.1,-3007.8980508458267,-3007.8955003132032,-3007.9014632699027,-1.6004833851188627,-3.7418118223499874,2.1413284372311248
