     theta       phi           Ex           Ey           Ez        Para_dE_total           Para_dE_el           Para_dE_ph          Para_dE_blc          Para_dE_dse       Ortho_dE_total          Ortho_dE_el          Ortho_dE_ph         Ortho_dE_blc         Ortho_dE_dse        Meta_dE_total           Meta_dE_el           Meta_dE_ph          Meta_dE_blc          Meta_dE_dse
     0.000    72.809     0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    76.854     0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    80.899     0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    84.944     0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    88.989     0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    93.034    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000    97.079    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   101.124    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   105.169    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   109.213    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   113.258    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   117.303    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   121.348    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   125.393    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   129.438    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   133.483    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   137.528    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   141.573    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   145.618    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   149.663    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   153.708    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   157.753    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   161.798    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
     0.000   165.843    -0.000000     0.000000     0.100000      -0.000000000002       0.000000000004       0.007651714467      -0.015303428935       0.007651714467      -0.000000000001       0.000000000006       0.006157411522      -0.012314823043       0.006157411522      -0.000000000000      -0.000000000001       0.008179108704      -0.016358217407       0.008179108704
