     theta       phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
--------------------------------------------------------------------------------------------------------------------------
     0.000     0.000     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000     4.045     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000     8.090     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    12.135     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    16.180     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    20.225     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    24.270     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    28.315     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    32.360     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    36.404     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    40.449     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    44.494     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    48.539     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    52.584     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    56.629     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    60.674     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    64.719     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    68.764     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    72.809     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    76.854     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    80.899     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    84.944     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    88.989     0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    93.034    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000    97.079    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   101.124    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   105.169    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   109.213    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   113.258    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   117.303    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   121.348    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   125.393    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   129.438    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   133.483    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   137.528    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   141.573    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   145.618    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   149.663    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   153.708    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   157.753    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   161.798    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   165.843    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   169.888    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   173.933    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   177.978    -0.000000     0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   182.022    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   186.067    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   190.112    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   194.157    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   198.202    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   202.247    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   206.292    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   210.337    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   214.382    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   218.427    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   222.472    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   226.517    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   230.562    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   234.607    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   238.652    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   242.697    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   246.742    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   250.787    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   254.831    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   258.876    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   262.921    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   266.966    -0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   271.011     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   275.056     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   279.101     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   283.146     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   287.191     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   291.236     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   295.281     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   299.326     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   303.371     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   307.416     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   311.461     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   315.506     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   319.551     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   323.596     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   327.640     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   331.685     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   335.730     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   339.775     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   343.820     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   347.865     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   351.910     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   355.955     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     0.000   360.000     0.000000    -0.000000     0.100000   -3007.908167733315   -3007.912682458014   -3007.916571633206
     2.022     0.000     0.003529     0.000000     0.099938   -3007.907515426005   -3007.912925558822   -3007.916222335597
     2.022     4.045     0.003520     0.000249     0.099938   -3007.907516530106   -3007.912888383459   -3007.916185295507
     2.022     8.090     0.003494     0.000497     0.099938   -3007.907520950379   -3007.912850043241   -3007.916150087113
     2.022    12.135     0.003450     0.000742     0.099938   -3007.907528660774   -3007.912810717273   -3007.916116903675
     2.022    16.180     0.003389     0.000983     0.099938   -3007.907539615766   -3007.912770591233   -3007.916085928094
     2.022    20.225     0.003312     0.001220     0.099938   -3007.907553750713   -3007.912729856661   -3007.916057331655
     2.022    24.270     0.003217     0.001451     0.099938   -3007.907570982383   -3007.912688710157   -3007.916031272836
     2.022    28.315     0.003107     0.001674     0.099938   -3007.907591209614   -3007.912647352533   -3007.916007896197
     2.022    32.360     0.002981     0.001889     0.099938   -3007.907614314120   -3007.912605987889   -3007.915987331378
     2.022    36.404     0.002840     0.002094     0.099938   -3007.907640161422   -3007.912564822642   -3007.915969692189
     2.022    40.449     0.002686     0.002290     0.099938   -3007.907668601918   -3007.912524064472   -3007.915955075820
     2.022    44.494     0.002517     0.002473     0.099938   -3007.907699472005   -3007.912483921250   -3007.915943562172
     2.022    48.539     0.002337     0.002645     0.099938   -3007.907732595360   -3007.912444599893   -3007.915935213315
     2.022    52.584     0.002144     0.002803     0.099938   -3007.907767784239   -3007.912406305203   -3007.915930073103
     2.022    56.629     0.001941     0.002947     0.099938   -3007.907804840878   -3007.912369238658   -3007.915928166885
     2.022    60.674     0.001728     0.003077     0.099938   -3007.907843558907   -3007.912333597203   -3007.915929501406
     2.022    64.719     0.001507     0.003191     0.099938   -3007.907883724829   -3007.912299572020   -3007.915934064811
     2.022    68.764     0.001278     0.003290     0.099938   -3007.907925119479   -3007.912267347306   -3007.915941826820
     2.022    72.809     0.001043     0.003371     0.099938   -3007.907967519503   -3007.912237099063   -3007.915952739010
     2.022    76.854     0.000803     0.003437     0.099938   -3007.908010698811   -3007.912208993912   -3007.915966735267
     2.022    80.899     0.000558     0.003485     0.099938   -3007.908054429994   -3007.912183187953   -3007.915983732335
     2.022    84.944     0.000311     0.003515     0.099938   -3007.908098485722   -3007.912159825669   -3007.916003630493
     2.022    88.989     0.000062     0.003529     0.099938   -3007.908142640050   -3007.912139038882   -3007.916026314364
     2.022    93.034    -0.000187     0.003524     0.099938   -3007.908186669691   -3007.912120945804   -3007.916051653801
     2.022    97.079    -0.000435     0.003502     0.099938   -3007.908230355183   -3007.912105650149   -3007.916079504868
     2.022   101.124    -0.000681     0.003463     0.099938   -3007.908273482004   -3007.912093240357   -3007.916109710919
     2.022   105.169    -0.000923     0.003406     0.099938   -3007.908315841581   -3007.912083788900   -3007.916142103729
     2.022   109.213    -0.001161     0.003333     0.099938   -3007.908357232185   -3007.912077351727   -3007.916176504680
     2.022   113.258    -0.001394     0.003242     0.099938   -3007.908397459787   -3007.912073967795   -3007.916212725995
     2.022   117.303    -0.001619     0.003136     0.099938   -3007.908436338764   -3007.912073658748   -3007.916250572008
     2.022   121.348    -0.001836     0.003014     0.099938   -3007.908473692534   -3007.912076428713   -3007.916289840424
     2.022   125.393    -0.002044     0.002877     0.099938   -3007.908509354102   -3007.912082264224   -3007.916330323624
     2.022   129.438    -0.002242     0.002726     0.099938   -3007.908543166509   -3007.912091134291   -3007.916371809918
     2.022   133.483    -0.002429     0.002561     0.099938   -3007.908574983198   -3007.912102990581   -3007.916414084821
     2.022   137.528    -0.002603     0.002383     0.099938   -3007.908604668307   -3007.912117767747   -3007.916456932259
     2.022   141.573    -0.002765     0.002193     0.099938   -3007.908632096899   -3007.912135383874   -3007.916500135771
     2.022   145.618    -0.002913     0.001993     0.099938   -3007.908657155122   -3007.912155741057   -3007.916543479651
     2.022   149.663    -0.003046     0.001783     0.099938   -3007.908679740315   -3007.912178726076   -3007.916586750021
     2.022   153.708    -0.003164     0.001563     0.099938   -3007.908699761082   -3007.912204211208   -3007.916629735868
     2.022   157.753    -0.003266     0.001336     0.099938   -3007.908717137309   -3007.912232055101   -3007.916672230010
     2.022   161.798    -0.003353     0.001102     0.099938   -3007.908731800190   -3007.912262103797   -3007.916714029982
     2.022   165.843    -0.003422     0.000863     0.099938   -3007.908743692192   -3007.912294191764   -3007.916754938874
     2.022   169.888    -0.003474     0.000620     0.099938   -3007.908752767043   -3007.912328143061   -3007.916794766070
     2.022   173.933    -0.003509     0.000373     0.099938   -3007.908758989694   -3007.912363772518   -3007.916833327959
     2.022   177.978    -0.003527     0.000125     0.099938   -3007.908762336293   -3007.912400886981   -3007.916870448533
     2.022   182.022    -0.003527    -0.000125     0.099938   -3007.908762794159   -3007.912439286587   -3007.916905959960
     2.022   186.067    -0.003509    -0.000373     0.099938   -3007.908760361759   -3007.912478766059   -3007.916939703068
     2.022   190.112    -0.003474    -0.000620     0.099938   -3007.908755048711   -3007.912519116001   -3007.916971527781
     2.022   194.157    -0.003422    -0.000863     0.099938   -3007.908746875783   -3007.912560124193   -3007.917001293522
     2.022   198.202    -0.003353    -0.001102     0.099938   -3007.908735874891   -3007.912601576885   -3007.917028869533
     2.022   202.247    -0.003266    -0.001336     0.099938   -3007.908722089142   -3007.912643260042   -3007.917054135187
     2.022   206.292    -0.003164    -0.001563     0.099938   -3007.908705572838   -3007.912684960561   -3007.917076980253
     2.022   210.337    -0.003046    -0.001783     0.099938   -3007.908686391491   -3007.912726467448   -3007.917097305122
     2.022   214.382    -0.002913    -0.001993     0.099938   -3007.908664621850   -3007.912767572932   -3007.917115021026
     2.022   218.427    -0.002765    -0.002193     0.099938   -3007.908640351886   -3007.912808073525   -3007.917130050228
     2.022   222.472    -0.002603    -0.002383     0.099938   -3007.908613680766   -3007.912847771009   -3007.917142326192
     2.022   226.517    -0.002429    -0.002561     0.099938   -3007.908584718795   -3007.912886473357   -3007.917151793761
     2.022   230.562    -0.002242    -0.002726     0.099938   -3007.908553587326   -3007.912923995573   -3007.917158409287
     2.022   234.607    -0.002044    -0.002877     0.099938   -3007.908520418613   -3007.912960160467   -3007.917162140806
     2.022   238.652    -0.001836    -0.003014     0.099938   -3007.908485355596   -3007.912994799336   -3007.917162968159
     2.022   242.697    -0.001619    -0.003136     0.099938   -3007.908448551653   -3007.913027752585   -3007.917160883127
     2.022   246.742    -0.001394    -0.003242     0.099938   -3007.908410170252   -3007.913058870255   -3007.917155889559
     2.022   250.787    -0.001161    -0.003333     0.099938   -3007.908370384534   -3007.913088012496   -3007.917148003488
     2.022   254.831    -0.000923    -0.003406     0.099938   -3007.908329376805   -3007.913115049957   -3007.917137253214
     2.022   258.876    -0.000681    -0.003463     0.099938   -3007.908287337956   -3007.913139864113   -3007.917123679402
     2.022   262.921    -0.000435    -0.003502     0.099938   -3007.908244466759   -3007.913162347532   -3007.917107335134
     2.022   266.966    -0.000187    -0.003524     0.099938   -3007.908200969101   -3007.913182404085   -3007.917088285926
