cell_id,group_id,isomer,theta,phi,chain_index,opt_converged,attempts,final_gnorm,E_opt_hartree,conv_threshold,qed_ccsd_input_written
meta_th27_ph216,meta_th27,meta,27.0,216.0,12,True,1,0.0029995666502248657,-3010.3583004381326,0.006,True
meta_th27_ph234,meta_th27,meta,27.0,234.0,13,True,1,0.001066271159865645,-3010.358832319887,0.006,True
meta_th27_ph252,meta_th27,meta,27.0,252.0,14,True,1,0.0013040357993620954,-3010.359290916831,0.006,True
meta_th27_ph270,meta_th27,meta,27.0,270.0,15,True,1,0.0016417725850885118,-3010.359375172295,0.006,True
meta_th27_ph288,meta_th27,meta,27.0,288.0,16,True,1,0.0020745671135571513,-3010.3589268627693,0.006,True
meta_th27_ph306,meta_th27,meta,27.0,306.0,17,True,1,0.0001670608977633166,-3010.3578460985445,0.006,True
meta_th27_ph324,meta_th27,meta,27.0,324.0,18,True,1,0.0006840600854616298,-3010.3557044954114,0.006,True
meta_th27_ph342,meta_th27,meta,27.0,342.0,19,True,1,0.0039274087419406715,-3010.352777703227,0.006,True
meta_th36_ph0,meta_th36,meta,36.0,0.0,0,True,1,0.00011435087587090857,-3010.343991599894,0.002,True
meta_th36_ph18,meta_th36,meta,36.0,18.0,1,True,3,0.0018262811966788966,-3010.340753644956,0.002,True
meta_th36_ph36,meta_th36,meta,36.0,36.0,2,True,2,0.0010631774106421477,-3010.3383257068513,0.002,True
meta_th36_ph54,meta_th36,meta,36.0,54.0,3,True,6,0.0016546005227240773,-3010.3374184115196,0.002,True
meta_th36_ph72,meta_th36,meta,36.0,72.0,4,True,1,0.0005691859373590884,-3010.3377279194683,0.002,True
meta_th36_ph90,meta_th36,meta,36.0,90.0,5,True,1,8.786948262706462e-05,-3010.3392770260975,0.002,True
meta_th36_ph108,meta_th36,meta,36.0,108.0,6,True,1,0.0001335072128351308,-3010.3418144851908,0.002,True
meta_th36_ph126,meta_th36,meta,36.0,126.0,7,True,1,0.0001035985014890595,-3010.3448313611007,0.002,True
meta_th36_ph144,meta_th36,meta,36.0,144.0,8,True,1,0.0001902404554945198,-3010.3478866459427,0.002,True
meta_th36_ph162,meta_th36,meta,36.0,162.0,9,True,1,0.0004261693078916491,-3010.3505105159434,0.002,True
meta_th36_ph180,meta_th36,meta,36.0,180.0,10,True,2,0.0008875050774008239,-3010.3521698034792,0.002,True
meta_th36_ph198,meta_th36,meta,36.0,198.0,11,True,1,0.0019312118362624507,-3010.3528180967105,0.002,True
meta_th36_ph216,meta_th36,meta,36.0,216.0,12,True,6,0.001903137610618866,-3010.3532142718377,0.002,True
meta_th36_ph234,meta_th36,meta,36.0,234.0,13,True,2,0.0018713436252866503,-3010.3534751345314,0.002,True
meta_th36_ph252,meta_th36,meta,36.0,252.0,14,True,4,0.0018601559744311463,-3010.3539726848708,0.002,True
meta_th36_ph270,meta_th36,meta,36.0,270.0,15,True,6,0.0014248584074647711,-3010.354450425918,0.002,True
meta_th36_ph288,meta_th36,meta,36.0,288.0,16,True,1,0.0015273901019568904,-3010.3544860013812,0.002,True
meta_th36_ph306,meta_th36,meta,36.0,306.0,17,True,1,6.385321311436917e-05,-3010.353896253483,0.002,True
meta_th36_ph324,meta_th36,meta,36.0,324.0,18,True,1,0.000478228268786302,-3010.3518464812005,0.002,True
meta_th36_ph342,meta_th36,meta,36.0,342.0,19,True,3,0.001903871883751312,-3010.348455642197,0.002,True
meta_th45_ph0,meta_th45,meta,45.0,0.0,0,True,1,0.0010394229050262294,-3010.3395094769958,0.002,True
meta_th45_ph18,meta_th45,meta,45.0,18.0,1,True,2,0.0016855523751382175,-3010.335508690021,0.002,True
meta_th45_ph36,meta_th45,meta,45.0,36.0,2,True,4,0.0015675921419504879,-3010.332835895382,0.002,True
meta_th45_ph54,meta_th45,meta,45.0,54.0,3,True,1,0.0009736018472323075,-3010.3317221255706,0.002,True
meta_th45_ph72,meta_th45,meta,45.0,72.0,4,True,1,0.00017288730008986335,-3010.3322889261476,0.002,True
meta_th45_ph90,meta_th45,meta,45.0,90.0,5,True,1,8.866705010564675e-05,-3010.334243579421,0.002,True
meta_th45_ph108,meta_th45,meta,45.0,108.0,6,True,1,6.303083446434665e-05,-3010.3372358044803,0.002,True
meta_th45_ph126,meta_th45,meta,45.0,126.0,7,True,1,0.00010011417751746058,-3010.3406752299766,0.002,True
meta_th45_ph144,meta_th45,meta,45.0,144.0,8,True,1,0.0002044686837402924,-3010.343865106988,0.002,True
meta_th45_ph162,meta_th45,meta,45.0,162.0,9,True,1,0.0004828830912118456,-3010.346238150436,0.002,True
meta_th45_ph180,meta_th45,meta,45.0,180.0,10,True,2,0.001962764925992004,-3010.347215148102,0.002,True
meta_th45_ph198,meta_th45,meta,45.0,198.0,11,True,4,0.0014996849975728295,-3010.347059683978,0.002,True
meta_th45_ph216,meta_th45,meta,45.0,216.0,12,True,2,0.001832037263553173,-3010.3463127716846,0.002,True
meta_th45_ph234,meta_th45,meta,45.0,234.0,13,True,1,0.004670730440320733,-3010.346296092028,0.006,True
meta_th45_ph252,meta_th45,meta,45.0,252.0,14,True,2,0.004650456235676445,-3010.346838976295,0.006,True
meta_th45_ph270,meta_th45,meta,45.0,270.0,15,True,1,0.0026404372732176254,-3010.3478359205233,0.006,True
meta_th45_ph288,meta_th45,meta,45.0,288.0,16,True,1,0.00015628505159399883,-3010.348833913316,0.006,True
meta_th45_ph306,meta_th45,meta,45.0,306.0,17,True,1,6.394439840486857e-05,-3010.348959890046,0.006,True
meta_th45_ph324,meta_th45,meta,45.0,324.0,18,True,1,0.0005016682931163232,-3010.3474365176235,0.006,True
meta_th45_ph342,meta_th45,meta,45.0,342.0,19,True,1,0.0021286749827831406,-3010.343815023569,0.006,True
meta_th54_ph0,meta_th54,meta,54.0,0.0,0,True,1,0.001353355253200446,-3010.3354806162133,0.002,True
meta_th54_ph18,meta_th54,meta,54.0,18.0,1,True,2,0.0015357113291166297,-3010.3309083285462,0.002,True
meta_th54_ph36,meta_th54,meta,54.0,36.0,2,True,1,0.0015164679638513708,-3010.3277679007188,0.002,True
meta_th54_ph54,meta_th54,meta,54.0,54.0,3,True,1,0.00031918013733415557,-3010.3266047978427,0.002,True
meta_th54_ph72,meta_th54,meta,54.0,72.0,4,True,1,7.548375064855694e-05,-3010.3273452587746,0.002,True
meta_th54_ph90,meta_th54,meta,54.0,90.0,5,True,1,0.00010825361918584772,-3010.3296660710475,0.002,True
meta_th54_ph108,meta_th54,meta,54.0,108.0,6,True,1,0.00020487812313771614,-3010.3330461685464,0.002,True
meta_th54_ph126,meta_th54,meta,54.0,126.0,7,True,1,0.00010532856338174214,-3010.3367798316826,0.002,True
meta_th54_ph144,meta_th54,meta,54.0,144.0,8,True,1,0.0001359705017835073,-3010.339997083982,0.002,True
meta_th54_ph162,meta_th54,meta,54.0,162.0,9,True,1,0.00043148136860684746,-3010.342003039013,0.002,True
meta_th54_ph180,meta_th54,meta,54.0,180.0,10,True,2,0.0015543289310577055,-3010.342131451642,0.002,True
meta_th54_ph198,meta_th54,meta,54.0,198.0,11,True,4,0.0019492698763882864,-3010.34078280658,0.002,True
meta_th54_ph216,meta_th54,meta,54.0,216.0,12,True,3,0.00325856011223349,-3010.3390636777735,0.006,True
meta_th54_ph234,meta_th54,meta,54.0,234.0,13,True,2,0.005329884409195252,-3010.3383880165056,0.006,True
meta_th54_ph252,meta_th54,meta,54.0,252.0,14,True,3,0.005393184650140795,-3010.3390199553796,0.006,True
meta_th54_ph270,meta_th54,meta,54.0,270.0,15,True,1,0.005083374679980885,-3010.340577110484,0.006,True
meta_th54_ph288,meta_th54,meta,54.0,288.0,16,True,1,0.002735176088775896,-3010.342347873621,0.006,True
meta_th54_ph306,meta_th54,meta,54.0,306.0,17,True,1,0.00019784162519246229,-3010.343552040383,0.006,True
meta_th54_ph324,meta_th54,meta,54.0,324.0,18,True,1,0.0005058428557177643,-3010.342959235504,0.006,True
meta_th54_ph342,meta_th54,meta,54.0,342.0,19,True,1,0.0027380360167339616,-3010.3396761719855,0.006,True
meta_th63_ph0,meta_th63,meta,63.0,0.0,0,True,1,0.0014319708471379649,-3010.3322167934916,0.002,True
meta_th63_ph18,meta_th63,meta,63.0,18.0,1,True,1,0.0015033452395183842,-3010.327155803589,0.002,True
meta_th63_ph36,meta_th63,meta,63.0,36.0,2,True,1,0.0005230437415155559,-3010.3235826921796,0.002,True
meta_th63_ph54,meta_th63,meta,63.0,54.0,3,True,1,0.00033735225742510117,-3010.322161934939,0.002,True
meta_th63_ph72,meta_th63,meta,63.0,72.0,4,True,1,3.526401204139667e-05,-3010.323041320235,0.002,True
meta_th63_ph90,meta_th63,meta,63.0,90.0,5,True,1,0.00012405656283057757,-3010.3257202303284,0.002,True
meta_th63_ph108,meta_th63,meta,63.0,108.0,6,True,1,0.0002355518391865883,-3010.329437383102,0.002,True
meta_th63_ph126,meta_th63,meta,63.0,126.0,7,True,1,0.0004285887436513262,-3010.3332777432333,0.002,True
meta_th63_ph144,meta_th63,meta,63.0,144.0,8,True,1,0.0008183920918733714,-3010.3364399753873,0.002,True
meta_th63_ph162,meta_th63,meta,63.0,162.0,9,True,1,0.000977190618078082,-3010.338116368266,0.002,True
meta_th63_ph180,meta_th63,meta,63.0,180.0,10,True,2,0.000898896969733375,-3010.337415968903,0.002,True
meta_th63_ph198,meta_th63,meta,63.0,198.0,11,True,4,0.0019209325188341358,-3010.3345152135257,0.002,True
meta_th63_ph216,meta_th63,meta,63.0,216.0,12,True,2,0.0032663044965098873,-3010.3313532488246,0.006,True
meta_th63_ph234,meta_th63,meta,63.0,234.0,13,True,2,0.004225112740527051,-3010.32991490442,0.006,True
meta_th63_ph252,meta_th63,meta,63.0,252.0,14,True,3,0.004228474031896942,-3010.3307485478363,0.006,True
meta_th63_ph270,meta_th63,meta,63.0,270.0,15,True,1,0.004000692230014969,-3010.3328559715906,0.006,True
meta_th63_ph288,meta_th63,meta,63.0,288.0,16,True,1,0.0006996960596872725,-3010.335758959854,0.006,True
meta_th63_ph306,meta_th63,meta,63.0,306.0,17,True,1,0.000118072039068464,-3010.338053110431,0.006,True
meta_th63_ph324,meta_th63,meta,63.0,324.0,18,True,1,0.0006952728259240531,-3010.3387058189364,0.006,True
meta_th63_ph342,meta_th63,meta,63.0,342.0,19,True,1,0.0023771091289387443,-3010.336308927509,0.006,True
meta_th72_ph0,meta_th72,meta,72.0,0.0,0,True,1,0.0011916078216035943,-3010.3299849433297,0.002,True
meta_th72_ph18,meta_th72,meta,72.0,18.0,1,True,2,0.0004488203118637118,-3010.324700489671,0.002,True
meta_th72_ph36,meta_th72,meta,72.0,36.0,2,True,2,0.00036153512574893667,-3010.3203929450833,0.002,True
meta_th72_ph54,meta_th72,meta,72.0,54.0,3,True,1,0.0001509943051198546,-3010.318644718708,0.002,True
meta_th72_ph72,meta_th72,meta,72.0,72.0,4,True,1,7.458771076977e-05,-3010.3196733121,0.002,True
meta_th72_ph90,meta_th72,meta,72.0,90.0,5,True,1,6.979469151977332e-05,-3010.3226834769357,0.002,True
meta_th72_ph108,meta_th72,meta,72.0,108.0,6,True,1,0.00030723166826420595,-3010.326595010106,0.002,True
meta_th72_ph126,meta_th72,meta,72.0,126.0,7,True,1,0.0006196248039866067,-3010.3302770851933,0.002,True
meta_th72_ph144,meta_th72,meta,72.0,144.0,8,True,1,0.0010391530917768929,-3010.333310675244,0.002,True
meta_th72_ph162,meta_th72,meta,72.0,162.0,9,True,1,0.0006096583151619663,-3010.334894011059,0.002,True
meta_th72_ph180,meta_th72,meta,72.0,180.0,10,True,1,0.0012696959835560222,-3010.3334519953255,0.002,True
meta_th72_ph198,meta_th72,meta,72.0,198.0,11,True,3,0.0017593407952882492,-3010.3289794862158,0.002,True
meta_th72_ph216,meta_th72,meta,72.0,216.0,12,True,2,0.003733104294872612,-3010.3241450176242,0.006,True
meta_th72_ph234,meta_th72,meta,72.0,234.0,13,True,2,0.0045397702496737065,-3010.3219735483353,0.006,True
meta_th72_ph252,meta_th72,meta,72.0,252.0,14,True,3,0.004959484496593308,-3010.322879431213,0.006,True
meta_th72_ph270,meta_th72,meta,72.0,270.0,15,True,1,0.0043015759832214714,-3010.325558815536,0.006,True
meta_th72_ph288,meta_th72,meta,72.0,288.0,16,True,1,0.0009569320338447009,-3010.329497692465,0.006,True
meta_th72_ph306,meta_th72,meta,72.0,306.0,17,True,1,0.00012899356224226388,-3010.3328817769097,0.006,True
meta_th72_ph324,meta_th72,meta,72.0,324.0,18,True,1,0.0013926058212456757,-3010.3348852660024,0.006,True
meta_th72_ph342,meta_th72,meta,72.0,342.0,19,True,1,0.0019198230236864313,-3010.333707037199,0.006,True
meta_th81_ph0,meta_th81,meta,81.0,0.0,0,True,1,0.0006269888146118904,-3010.3289636101545,0.002,True
meta_th81_ph18,meta_th81,meta,81.0,18.0,1,True,1,0.0015172502244327876,-3010.323218251999,0.002,True
meta_th81_ph36,meta_th81,meta,81.0,36.0,2,True,1,0.0002560271045576264,-3010.318304708104,0.002,True
meta_th81_ph54,meta_th81,meta,81.0,54.0,3,True,1,0.00032661347742364886,-3010.3162854825173,0.002,True
meta_th81_ph72,meta_th81,meta,81.0,72.0,4,True,1,0.0003179642376023589,-3010.3176063614324,0.002,True
meta_th81_ph90,meta_th81,meta,81.0,90.0,5,True,1,0.0003840293907452257,-3010.321008345062,0.002,True
meta_th81_ph108,meta_th81,meta,81.0,108.0,6,True,1,0.00016139774539372239,-3010.3248617314016,0.002,True
meta_th81_ph126,meta_th81,meta,81.0,126.0,7,True,1,0.0017474592243787806,-3010.327857761929,0.002,True
meta_th81_ph144,meta_th81,meta,81.0,144.0,8,True,1,0.0006677795447489246,-3010.3306503492345,0.002,True
meta_th81_ph162,meta_th81,meta,81.0,162.0,9,True,1,0.001414107431537098,-3010.332543779908,0.002,True
meta_th81_ph180,meta_th81,meta,81.0,180.0,10,True,1,0.0009118282449632302,-3010.3306014641857,0.002,True
meta_th81_ph198,meta_th81,meta,81.0,198.0,11,True,1,0.0010467862283163245,-3010.32505341462,0.002,True
meta_th81_ph216,meta_th81,meta,81.0,216.0,12,True,1,0.0018488678868951228,-3010.3179935366734,0.002,True
meta_th81_ph234,meta_th81,meta,81.0,234.0,13,True,1,0.003772163932682014,-3010.312010535914,0.006,True
meta_th81_ph252,meta_th81,meta,81.0,252.0,14,True,1,0.004871439632326038,-3010.316366848159,0.006,True
meta_th81_ph270,meta_th81,meta,81.0,270.0,15,True,1,0.0017918600992721785,-3010.320042980961,0.006,True
meta_th81_ph288,meta_th81,meta,81.0,288.0,16,True,1,0.0006504505144061682,-3010.324392318953,0.006,True
meta_th81_ph306,meta_th81,meta,81.0,306.0,17,True,1,0.0036464526838066538,-3010.3284836885427,0.006,True
meta_th81_ph324,meta_th81,meta,81.0,324.0,18,True,1,0.002227547926425121,-3010.331654113162,0.006,True
meta_th81_ph342,meta_th81,meta,81.0,342.0,19,True,1,0.0008880289486562709,-3010.332127930183,0.006,True
meta_th90_ph0,meta_th90,meta,90.0,0.0,0,True,1,0.00032258464197210167,-3010.3292283341766,0.002,True
meta_th90_ph18,meta_th90,meta,90.0,18.0,1,True,1,0.0010822759018502398,-3010.3233245174188,0.002,True
meta_th90_ph36,meta_th90,meta,90.0,36.0,2,True,1,0.00034603499438770006,-3010.317529167323,0.002,True
meta_th90_ph54,meta_th90,meta,90.0,54.0,3,True,1,0.0011285110544375409,-3010.3153202544177,0.002,True
meta_th90_ph72,meta_th90,meta,90.0,72.0,4,True,2,0.005780549373791839,-3010.319286157558,0.006,True
meta_th90_ph90,meta_th90,meta,90.0,90.0,5,True,1,0.0050438300776980225,-3010.323573190148,0.006,True
meta_th90_ph108,meta_th90,meta,90.0,108.0,6,True,2,0.004525123364690971,-3010.327882847584,0.006,True
meta_th90_ph126,meta_th90,meta,90.0,126.0,7,True,2,0.004305804881742595,-3010.330338364084,0.006,True
meta_th90_ph144,meta_th90,meta,90.0,144.0,8,True,1,0.0006826034331468063,-3010.3314779384586,0.006,True
meta_th90_ph162,meta_th90,meta,90.0,162.0,9,True,1,0.000676670303950768,-3010.331646475626,0.006,True
