     Theta        Phi           Ex           Ey           Ez              Ortho_E               Meta_E
    78.000     41.000     0.073822     0.064172     0.020791   -3010.313598571716   -3010.302388519691
    78.000     42.000     0.072691     0.065451     0.020791   -3010.313082271731   -3010.301961274346
    78.000     43.000     0.071537     0.066710     0.020791   -3010.312558042364   -3010.301541705633
    78.000     44.000     0.070362     0.067948     0.020791   -3010.312026548205   -3010.301130287736
    78.000     45.000     0.069165     0.069165     0.020791   -3010.311488461688   -3010.300727489303
    78.000     46.000     0.067948     0.070362     0.020791   -3010.310944462101   -3010.300333772924
    79.000     26.000     0.088228     0.043032     0.019081   -3010.319801820442   -3010.309333870535
    79.000     27.000     0.087464     0.044565     0.019081   -3010.319478434400   -3010.308849521414
    79.000     28.000     0.086673     0.046085     0.019081   -3010.319138628085   -3010.308365283854
    79.000     29.000     0.085855     0.047590     0.019081   -3010.318782831098   -3010.307881674350
    79.000     30.000     0.085011     0.049081     0.019081   -3010.318411495352   -3010.307399208737
    79.000     31.000     0.084142     0.050558     0.019081   -3010.318025094243   -3010.306918401999
    79.000     32.000     0.083247     0.052018     0.019081   -3010.317624121820   -3010.306439767991
    79.000     33.000     0.082326     0.053463     0.019081   -3010.317209091938   -3010.305963819214
    79.000     34.000     0.081381     0.054892     0.019081   -3010.316780537300   -3010.305491066596
    79.000     35.000     0.080410     0.056304     0.019081   -3010.316339008537   -3010.305022019219
    79.000     36.000     0.079415     0.057699     0.019081   -3010.315885073258   -3010.304557184065
    79.000     37.000     0.078396     0.059076     0.019081   -3010.315419315071   -3010.304097065721
    79.000     38.000     0.077353     0.060435     0.019081   -3010.314942332563   -3010.303642166107
    79.000     39.000     0.076287     0.061776     0.019081   -3010.314454738349   -3010.303192984105
    79.000     40.000     0.075197     0.063098     0.019081   -3010.313957158029   -3010.302750015257
    79.000     41.000     0.074084     0.064401     0.019081   -3010.313450229188   -3010.302313751333
    79.000     42.000     0.072949     0.065684     0.019081   -3010.312934600438   -3010.301884679962
    79.000     43.000     0.071792     0.066947     0.019081   -3010.312410930379   -3010.301463284180
    79.000     44.000     0.070612     0.068190     0.019081   -3010.311879886646   -3010.301050041955
    79.000     45.000     0.069412     0.069412     0.019081   -3010.311342144933   -3010.300645425679
    79.000     46.000     0.068190     0.070612     0.019081   -3010.310798388023   -3010.300249901677
    80.000     26.000     0.088514     0.043171     0.017365   -3010.319640467831   -3010.309307726151
    80.000     27.000     0.087747     0.044709     0.017365   -3010.319319871197   -3010.308822343013
    80.000     28.000     0.086953     0.046234     0.017365   -3010.318982737966   -3010.308337011173
    80.000     29.000     0.086133     0.047744     0.017365   -3010.318629496826   -3010.307852250831
    80.000     30.000     0.085287     0.049240     0.017365   -3010.318260598939   -3010.307368581547
    80.000     31.000     0.084415     0.050721     0.017365   -3010.317876517167   -3010.306886521952
    80.000     32.000     0.083516     0.052187     0.017365   -3010.317477745242   -3010.306406589581
    80.000     33.000     0.082593     0.053636     0.017365   -3010.317064796881   -3010.305929300589
    80.000     34.000     0.081644     0.055070     0.017365   -3010.316638204896   -3010.305455169533
    80.000     35.000     0.080671     0.056486     0.017365   -3010.316198520276   -3010.304984709103
    80.000     36.000     0.079673     0.057886     0.017365   -3010.315746311227   -3010.304518429902
    80.000     37.000     0.078650     0.059267     0.017365   -3010.315282162165   -3010.304056840118
    80.000     38.000     0.077604     0.060631     0.017365   -3010.314806672788   -3010.303600445252
    80.000     39.000     0.076534     0.061976     0.017365   -3010.314320456999   -3010.303149747778
    80.000     40.000     0.075441     0.063302     0.017365   -3010.313824142000   -3010.302705246792
    80.000     41.000     0.074324     0.064609     0.017365   -3010.313318367190   -3010.302267437636
    80.000     42.000     0.073185     0.065897     0.017365   -3010.312803783227   -3010.301836811483
    80.000     43.000     0.072024     0.067164     0.017365   -3010.312281051030   -3010.301413854889
    80.000     44.000     0.070841     0.068410     0.017365   -3010.311750840760   -3010.300999049326
    80.000     45.000     0.069636     0.069636     0.017365   -3010.311213830857   -3010.300592870673
    80.000     46.000     0.068410     0.070841     0.017365   -3010.310670707099   -3010.300195788691
    81.000     26.000     0.088773     0.043297     0.015643   -3010.319491086198   -3010.309305587509
    81.000     27.000     0.088004     0.044840     0.015643   -3010.319173514743   -3010.308819485406
    81.000     28.000     0.087208     0.046369     0.015643   -3010.318839302502   -3010.308333373602
    81.000     29.000     0.086385     0.047884     0.015643   -3010.318488876896   -3010.307847775727
    81.000     30.000     0.085536     0.049384     0.015643   -3010.318122687970   -3010.307363214765
    81.000     31.000     0.084661     0.050870     0.015643   -3010.317741207635   -3010.306880212743
    81.000     32.000     0.083761     0.052340     0.015643   -3010.317344928870   -3010.306399290571
    81.000     33.000     0.082835     0.053793     0.015643   -3010.316934364845   -3010.305920967767
    81.000     34.000     0.081883     0.055231     0.015643   -3010.316510048031   -3010.305445762232
    81.000     35.000     0.080907     0.056651     0.015643   -3010.316072529301   -3010.304974190000
    81.000     36.000     0.079906     0.058055     0.015643   -3010.315622376960   -3010.304506764996
    81.000     37.000     0.078880     0.059441     0.015643   -3010.315160175776   -3010.304043998720
    81.000     38.000     0.077831     0.060808     0.015643   -3010.314686526023   -3010.303586399991
    81.000     39.000     0.076758     0.062157     0.015643   -3010.314202042443   -3010.303134474571
    81.000     40.000     0.075661     0.063487     0.015643   -3010.313707353286   -3010.302688724841
    81.000     41.000     0.074542     0.064798     0.015643   -3010.313203099269   -3010.302249649412
    81.000     42.000     0.073400     0.066089     0.015643   -3010.312689932600   -3010.301817742713
    81.000     43.000     0.072235     0.067360     0.015643   -3010.312168515971   -3010.301393494548
    81.000     44.000     0.071048     0.068611     0.015643   -3010.311639521557   -3010.300977389604
    81.000     45.000     0.069840     0.069840     0.015643   -3010.311103630048   -3010.300569906955
    81.000     46.000     0.068611     0.071048     0.015643   -3010.310561529672   -3010.300171519524
    82.000     26.000     0.089005     0.043410     0.013917   -3010.319353821902   -3010.309327453339
    82.000     27.000     0.088234     0.044957     0.013917   -3010.319039506737   -3010.308840949638
    82.000     28.000     0.087435     0.046490     0.013917   -3010.318708458928   -3010.308354374559
    82.000     29.000     0.086611     0.048009     0.013917   -3010.318361104245   -3010.307868254898
    82.000     30.000     0.085760     0.049513     0.013917   -3010.317997891247   -3010.307383116727
    82.000     31.000     0.084883     0.051003     0.013917   -3010.317619290503   -3010.306899485215
    82.000     32.000     0.083979     0.052476     0.013917   -3010.317225793835   -3010.306417884337
    82.000     33.000     0.083051     0.053934     0.013917   -3010.316817913426   -3010.305938836695
    82.000     34.000     0.082097     0.055375     0.013917   -3010.316396180961   -3010.305462863259
    82.000     35.000     0.081118     0.056799     0.013917   -3010.315961146727   -3010.304990483105
    82.000     36.000     0.080114     0.058206     0.013917   -3010.315513378666   -3010.304522213183
    82.000     37.000     0.079086     0.059596     0.013917   -3010.315053461411   -3010.304058568047
    82.000     38.000     0.078034     0.060967     0.013917   -3010.314581995312   -3010.303600059497
    82.000     39.000     0.076958     0.062320     0.013917   -3010.314099595445   -3010.303147196328
    82.000     40.000     0.075859     0.063653     0.013917   -3010.313606890607   -3010.302700483904
    82.000     41.000     0.074736     0.064967     0.013917   -3010.313104522313   -3010.302260423823
    82.000     42.000     0.073591     0.066262     0.013917   -3010.312593143806   -3010.301827513484
    82.000     43.000     0.072424     0.067536     0.013917   -3010.312073419033   -3010.301402245625
    82.000     44.000     0.071234     0.068790     0.013917   -3010.311546021669   -3010.300985107867
    82.000     45.000     0.070023     0.070023     0.013917   -3010.311011634116   -3010.300576582187
    82.000     46.000     0.068790     0.071234     0.013917   -3010.310470946550   -3010.300177144370
    83.000     26.000     0.089209     0.043510     0.012187   -3010.319228811248   -3010.309373294757
    83.000     27.000     0.088437     0.045061     0.012187   -3010.318917978578   -3010.308886708714
    83.000     28.000     0.087637     0.046597     0.012187   -3010.318590333830   -3010.308399989013
    83.000     29.000     0.086810     0.048120     0.012187   -3010.318246300806   -3010.307913665285
    83.000     30.000     0.085957     0.049627     0.012187   -3010.317886326208   -3010.307428266445
    83.000     31.000     0.085078     0.051120     0.012187   -3010.317510878886   -3010.306944320460
    83.000     32.000     0.084173     0.052597     0.012187   -3010.317120449094   -3010.306462354132
    83.000     33.000     0.083242     0.054058     0.012187   -3010.316715547605   -3010.305982892809
    83.000     34.000     0.082286     0.055502     0.012187   -3010.316296704873   -3010.305506460234
    83.000     35.000     0.081305     0.056930     0.012187   -3010.315864470147   -3010.305033578253
    83.000     36.000     0.080299     0.058340     0.012187   -3010.315419410536   -3010.304564766569
    83.000     37.000     0.079268     0.059733     0.012187   -3010.314962110059   -3010.304100542444
    83.000     38.000     0.078214     0.061107     0.012187   -3010.314493168641   -3010.303641420422
    83.000     39.000     0.077135     0.062463     0.012187   -3010.314013201192   -3010.303187911989
    83.000     40.000     0.076033     0.063800     0.012187   -3010.313522836562   -3010.302740525227
    83.000     41.000     0.074908     0.065117     0.012187   -3010.313022716541   -3010.302299764408
    83.000     42.000     0.073761     0.066414     0.012187   -3010.312513494876   -3010.301866129606
    83.000     43.000     0.072590     0.067691     0.012187   -3010.311995836267   -3010.301440116201
    83.000     44.000     0.071398     0.068948     0.012187   -3010.311470415365   -3010.301022214458
    83.000     45.000     0.070184     0.070184     0.012187   -3010.310937915759   -3010.300612908951
    83.000     46.000     0.068948     0.071398     0.012187   -3010.310399029040   -3010.300212678041
