job_id,isomer,sample_index,theta_deg,phi_deg,lambda_mag,lambda_x,lambda_y,lambda_z,omega,charge,multiplicity,functional,basis,energy_hartree,status,log_file,psi4_output_file
para_dirA_r011_th158_ph44,para,011,158,44,0.1,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.06615,1,1,wb97x,6-311G*,-3010.3372094838209705,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r011_th158_ph44.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r011_th158_ph44.dat
para_dirA_r012_th149_ph65,para,012,149,65,0.1,0.021766449594876336,0.046678301791134774,-0.08571673007021123,0.06615,1,1,wb97x,6-311G*,-3010.3302213600786672,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r012_th149_ph65.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r012_th149_ph65.dat
para_dirA_r016_th159_ph40,para,016,159,40,0.1,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.06615,1,1,wb97x,6-311G*,-3010.3378892154255482,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r016_th159_ph40.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r016_th159_ph40.dat
para_dirA_r015_th134_ph71,para,015,134,71,0.1,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.06615,1,1,wb97x,6-311G*,-3010.3186570304087581,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r015_th134_ph71.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r015_th134_ph71.dat
para_dirA_r013_th139_ph83,para,013,139,83,0.1,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.06615,1,1,wb97x,6-311G*,-3010.3202074612122487,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r013_th139_ph83.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r013_th139_ph83.dat
para_dirA_r018_th153_ph13,para,018,153,13,0.1,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.06615,1,1,wb97x,6-311G*,-3010.3378410490263377,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r018_th153_ph13.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r018_th153_ph13.dat
para_dirA_r017_th146_ph42,para,017,146,42,0.1,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.06615,1,1,wb97x,6-311G*,-3010.3319599432870746,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r017_th146_ph42.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r017_th146_ph42.dat
para_dirA_r014_th157_ph73,para,014,157,73,0.1,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.06615,1,1,wb97x,6-311G*,-3010.3335290378095124,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r014_th157_ph73.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r014_th157_ph73.dat
para_dirA_r020_th139_ph1,para,020,139,1,0.1,0.06559591080226988,0.00114498088207919,-0.07547095802227721,0.06615,1,1,wb97x,6-311G*,-3010.3313915287076270,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r020_th139_ph1.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r020_th139_ph1.dat
para_dirA_r021_th135_ph21,para,021,135,21,0.1,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.06615,1,1,wb97x,6-311G*,-3010.3277991674640361,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r021_th135_ph21.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r021_th135_ph21.dat
