theta,phi,E_el,E_el_uncoupled,E_ph,E_blc,E_dse,E_total
0.0,0.0,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,4.044943820224719,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,8.089887640449438,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,12.134831460674157,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,16.179775280898877,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,20.224719101123597,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,24.269662921348313,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,28.314606741573034,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,32.359550561797754,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,36.40449438202247,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,40.449438202247194,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,44.49438202247191,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,48.53932584269663,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,52.58426966292135,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,56.62921348314607,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
