theta,phi,isomer,energy_full_hartree,energy_projected_hartree,delta_energy_projected_minus_full_hartree,norm_full,norm_projected,norm_removed,lambda_x,lambda_y,lambda_z,geometry_path
81.0,234.0,para,-3010.330141961903,-3010.330141961903,0.0,0.00433921201937034,0.0010910231743831602,0.004374538815650001,-0.058054864046304736,-0.07990566526874576,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/para_th81_ph234/optimized.xyz
81.0,234.0,meta,-3010.312010549948,-3010.312010549948,0.0,0.0056329941960208555,0.003772303289837791,0.00448811096192845,-0.058054864046304736,-0.07990566526874576,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph234/optimized.xyz
81.0,252.0,para,-3010.3360228828333,-3010.3360228828333,0.0,0.0033648701325661536,0.00038518585402888826,0.003373090340624616,-0.0305212482389889,-0.09393474323917528,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/para_th81_ph252/optimized.xyz
81.0,252.0,meta,-3010.316366852708,-3010.316366852708,0.0,0.0061179257736699915,0.004871264562392528,0.005066455076204086,-0.0305212482389889,-0.09393474323917528,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph252/optimized.xyz
81.0,270.0,para,-3010.3375644531216,-3010.3375644531216,0.0,0.002026687148662839,0.0009879309296525736,0.001998286022195208,-1.8143540472974943e-17,-0.09876883405951378,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/para_th81_ph270/optimized.xyz
81.0,270.0,meta,-3010.3200429744747,-3010.3200429744747,0.0,0.005107481921663769,0.0017916734913144502,0.005516016564628293,-1.8143540472974943e-17,-0.09876883405951378,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph270/optimized.xyz
81.0,288.0,para,-3010.3334363047406,-3010.3334363047406,0.0,0.0027395747879219627,0.0018627297480583158,0.0023283288932313424,0.030521248238988864,-0.09393474323917529,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/para_th81_ph288/optimized.xyz
81.0,288.0,meta,-3010.3243923246814,-3010.3243923246814,0.0,0.005093485755248742,0.0006506777002349822,0.0051539621169282715,0.030521248238988864,-0.09393474323917529,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph288/optimized.xyz
