theta,phi,Ex,Ey,Ez,lambda_magnitude,E_ortho_Hartrees,E_meta_Hartrees,dE_ortho_meta_kcal/mol
70,31,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,-3010.5189791510456,-3010.521988361405,1.888308009924217
70,31,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,-3010.4935277569734,-3010.4944873301315,0.6021412477457433
70,31,0.048328427234925045,0.029038648705005464,0.02052120859954013,0.06,-3010.4515163428564,-3010.4492416827197,-1.4273707860299758
70,31,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,-3010.393456571488,-3010.3869448818564,-4.086146936037328
70,31,0.08054737872487508,0.048397747841675776,0.03420201433256689,0.1,-3010.319932959097,-3010.308339494177,-7.27500907465908
