theta,phi,Ex,Ey,Ez,lambda_magnitude,ortho_E_el,ortho_E_ph,ortho_E_blc,ortho_E_dse,meta_E_el,meta_E_ph,meta_E_blc,meta_E_dse,para_E_el,para_E_ph,para_E_blc,para_E_dse
70.0,31.0,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,-3007.954820577799,0.03311938593887972,-0.00034721933582228617,0.0007421095476196714,-3007.9568657769278,0.03315305129803742,-0.0006935748752317718,0.0016030773262518906,-3007.948834858411,0.033154002819266025,-0.0006877759907532436,0.00156622315526664
70.0,31.0,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,-3007.954424975367,0.03326047918517826,-0.0013901464095842071,0.0029446627040144056,-3007.956019995093,0.033414317235621785,-0.002804789095096654,0.0063452181208549984,-3007.9480064851796,0.03341770942348182,-0.0027847328065250805,0.006211956544788119
70.0,31.0,0.048328427234925045,0.029038648705005464,0.02052120859954013,0.06,-3007.9537402563546,0.033512306325224124,-0.0031339114693837594,0.006538853546045448,-3007.954503464689,0.03393709684238148,-0.006438915644068492,0.014033041542757804,-3007.9465323316426,0.03394206233114917,-0.006402704058342812,0.013783090782222973
70.0,31.0,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,-3007.9527308887455,0.03390067393229386,-0.005591146394393332,0.011417698751573946,-3007.9521566964772,0.034880459055215966,-0.011821094038472459,0.024368078802705678,-3007.944271127789,0.03487745233558438,-0.011768356257189251,0.024038820290583195
70.0,31.0,0.08054737872487508,0.048397747841675776,0.03420201433256689,0.1,-3007.9513516155275,0.03446341744033345,-0.008787257490633776,0.017445630528204144,-3007.9487547846297,0.03653895613259231,-0.019389070383230282,0.036978750146037825,-3007.9410221874987,0.0364919567639108,-0.019299968637041705,0.036678858534057675
