theta,phi,Ex,Ey,Ez,lambda_magnitude,E_ortho_Hartrees,E_meta_Hartrees,E_para_Hartrees,dE_ortho_meta_kcal/mol,dE_para_meta_kcal/mol,dE_ortho_para_kcal/mol
70.0,31.0,0.016109475744975014,0.009679549568335156,0.0068404028665133764,0.02,-3007.921306165819,-3007.9228031841303,-3007.9148023769117,0.9393931733191326,5.020582329855411,-4.081189156536278
70.0,31.0,0.03221895148995003,0.01935909913667031,0.013680805733026753,0.04,-3007.9196021531993,-3007.919062949844,-3007.911159659413,-0.3383552139611772,4.959389621681769,-5.297744835642947
70.0,31.0,0.048328427234925045,0.029038648705005464,0.02052120859954013,0.06,-3007.9167480999163,-3007.9129494436834,-3007.90519047643,-2.3836927748551213,4.868825460370232,-7.252518235225353
70.0,31.0,0.06443790297990006,0.03871819827334062,0.027361611466053506,0.08,-3007.9126718524362,-3007.9046236350564,-3007.8970289466224,-5.050332655167203,4.765738944881662,-9.816071600048865
70.0,31.0,0.08054737872487508,0.048397747841675776,0.03420201433256689,0.1,-3007.907283936904,-3007.894311265157,-3007.8868523416727,-8.140474425354272,4.680545152607654,-12.821019577961927
